ts_code,stock_name,industry,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount,amplitude,turnover_rate,adj_factor,price_type,source
000001.SZ,平安银行,银行,2019-01-02,7.2975015107044205,7.1420701686233885,7.320816212016574,7.118755467311233,,,,539386.32,498695.109,,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-03,7.134298601519337,7.212014272559853,7.25087210808011,7.110983900207183,7.1420701686233885,0.06994410393646433,0.9793253536452662,415537.95,384457.707,1.9586507072905275,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-04,7.180928004143646,7.577277926450275,7.631678896178637,7.165384869935544,7.212014272559853,0.36526365389042237,5.064655172413768,1481159.06,1422149.888,6.465517241379304,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-07,7.6472220303867395,7.569506359346225,7.654993597490792,7.4840191212016585,7.577277926450275,-0.007771567104049915,-0.10256410256408444,865687.66,841166.43,2.256410256410246,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-08,7.561734792242173,7.507333822513813,7.569506359346225,7.476247554097605,7.569506359346225,-0.06217253683241264,-0.8213552361396315,402388.11,389247.795,1.2320328542094654,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-09,7.569506359346225,7.7249377014272556,7.833739640883978,7.538420090930018,7.507333822513813,0.2176038789134429,2.898550724637672,1233486.36,1229465.116,3.9337474120082976,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-10,7.670536731698894,7.849282775092081,7.926998446132595,7.662765164594844,7.7249377014272556,0.12434507366482528,1.6096579476861272,1071817.66,1079711.035,3.4205231388329733,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-11,7.8570543421961325,7.926998446132595,7.942541580340701,7.810424939571824,7.849282775092081,0.07771567104051424,0.9900990099009688,696364.55,708001.802,1.6831683168316878,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-14,7.942541580340701,7.8570543421961325,7.965856281652855,7.825968073779927,7.926998446132595,-0.06994410393646255,-0.8823529411764564,500443.59,507862.882,1.7647058823529478,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-15,7.8570543421961325,7.958084714548803,7.9891709829650095,7.841511207988029,7.8570543421961325,0.1010303723526702,1.285855588526208,542160.55,553027.309,1.8793273986152401,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-16,7.958084714548803,8.14460232504604,8.160145459254144,7.950313147444751,7.958084714548803,0.18651761049723792,2.34375,977699.37,1017495.116,2.636718750000009,,108.031,前复权,TuShare Pro: daily + adj_factor
000001.SZ,平安银行,银行,2019-01-17,8.191231727670349,7.965856281652855,8.214546428982505,7.903683744820441,8.14460232504604,-0.17874604339318534,-2.1946564885496067,882811.92,910212.066,3.8167938931297893,,108.031,前复权,TuShare Pro: daily + adj_factor
