ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,pre_close,change,pct_chg,amplitude,turnover_rate,price_type,source,adj_factor
600031.SH,三一重工,工程机械,2019-01-02,5.547,5.287,5.547,5.187,526282.89,424326.953,,,,,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-03,5.227,5.167,5.347,5.117,378704.36,302152.864,5.287,-0.1200000000000001,-2.2697181766597296,4.35029317193116,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-04,5.107,5.307,5.307,5.007,381295.59,303885.421,5.167,0.14000000000000057,2.709502612734682,5.806077027288576,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-07,5.357,5.377,5.407,5.267,466807.85,378787.476,5.307,0.0699999999999994,1.3190126248351142,2.6380252496702403,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-08,5.367,5.337,5.397,5.297,248089.61,201023.368,5.377,-0.040000000000000036,-0.7439092430723493,1.8597731076808728,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-09,5.337,5.347,5.487,5.307,429590.33,350740.018,5.337,0.010000000000000675,0.1873711823121793,3.372681281618882,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-10,5.337,5.277,5.347,5.257,294989.9,237813.607,5.347,-0.07000000000000028,-1.3091453151299892,1.6831868337385587,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-11,5.387,5.427,5.437,5.297,420420.69,341991.653,5.277,0.14999999999999947,2.842524161455362,2.6530225506916914,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-14,5.457,5.617,5.617,5.387,482642.99,400129.685,5.427,0.1900000000000004,3.5010134512622137,4.238068914685838,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-15,5.587,5.667,5.787,5.517,643648.19,540781.005,5.617,0.04999999999999982,0.8901548869503229,4.806836389531771,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-16,5.717,5.707,5.757,5.617,436623.83,369839.106,5.667,0.040000000000000036,0.7058408328921795,2.4704429151226344,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-17,5.717,5.767,5.837,5.687,392015.31,334405.221,5.707,0.0600000000000005,1.0513404590853481,2.628351147713325,,前复权,TuShare Pro daily + TuShare legacy qfq,
600031.SH,三一重工,工程机械,2019-01-18,5.797,5.877,5.927,5.747,507654.88,437447.651,5.767,0.10999999999999943,1.9074041962892307,3.1212068666551014,,前复权,TuShare Pro daily + TuShare legacy qfq,
