ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,pre_close,change,pct_chg,amplitude,turnover_rate,price_type,source,adj_factor
000425.SZ,徐工机械,工程机械,2019-11-11,3.426,3.346,3.436,3.326,517248.88,231318.792,3.456,-0.10999999999999988,-3.182870370370372,3.1828703703703667,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-12,3.346,3.336,3.366,3.306,366780.6,162348.638,3.346,-0.010000000000000231,-0.298864315600722,1.793185893604305,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-13,3.346,3.306,3.346,3.276,354958.21,156065.117,3.336,-0.029999999999999805,-0.8992805755395628,2.0983213429256677,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-14,3.316,3.366,3.396,3.306,356153.28,158527.682,3.306,0.06000000000000005,1.814882032667886,2.722323049001811,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-15,3.366,3.286,3.376,3.286,325622.01,143868.971,3.366,-0.08000000000000007,-2.3767082590612,2.673796791443846,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-18,3.266,3.336,3.356,3.256,315822.08,139493.195,3.286,0.04999999999999982,1.5216068167985375,3.043213633597081,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-19,3.316,3.356,3.396,3.316,631516.05,280609.964,3.336,0.020000000000000018,0.5995203836930418,2.398081534772184,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-20,3.336,3.236,3.346,3.186,842860.76,366818.198,3.356,-0.11999999999999966,-3.5756853396900934,4.767580452920147,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-21,3.226,3.226,3.256,3.206,300949.53,129985.744,3.236,-0.010000000000000231,-0.30902348578493166,1.5451174289245928,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-22,3.226,3.196,3.266,3.176,536562.5,231585.693,3.226,-0.029999999999999805,-0.9299442033477878,2.789832610043393,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-25,3.176,3.356,3.356,3.176,947056.37,416379.308,3.196,0.1599999999999997,5.0062578222778376,5.632040050062569,,前复权,TuShare Pro daily + TuShare legacy qfq,
000425.SZ,徐工机械,工程机械,2019-11-26,3.366,3.436,3.466,3.336,1056551.9,476479.96,3.356,0.08000000000000007,2.3837902264600697,3.8736591179976263,,前复权,TuShare Pro daily + TuShare legacy qfq,
