industry,parameter,sample_period,stock_count,median_cumulative_return,median_sharpe_ratio,median_max_drawdown,positive_return_share,median_buy_count
半导体,MA10/MA20,全样本,2,3.4123227104261202,0.7098058205963458,-0.6521538194016027,1.0,47.0
半导体,MA10/MA20,样本内,2,1.3101010545285852,0.6323696715137221,-0.6272061022421596,1.0,30.0
半导体,MA10/MA20,样本外,2,0.8908381224147977,0.8828119044279836,-0.27915434288251634,1.0,17.0
半导体,MA10/MA30,全样本,2,4.265049841253965,0.7580714115577121,-0.6627621113932531,1.0,35.5
半导体,MA10/MA30,样本内,2,1.0112593098186162,0.5151026359194876,-0.6130800073451821,1.0,23.5
半导体,MA10/MA30,样本外,2,1.731532658303069,1.2634741001218177,-0.32743818938408076,1.0,12.0
半导体,MA20/MA60,全样本,2,1.561260754179623,0.4711005603669024,-0.5962728415318317,1.0,19.5
半导体,MA20/MA60,样本内,2,0.10715152736542488,0.21109178194470876,-0.5655320470033529,0.5,13.0
半导体,MA20/MA60,样本外,2,1.2072851426811146,1.0538839180504758,-0.2543594003312228,1.0,6.5
半导体,MA5/MA10,全样本,2,2.718644796755559,0.6391424621237809,-0.5095367088417351,1.0,100.0
半导体,MA5/MA10,样本内,2,0.8890053933859072,0.502914601257052,-0.48329877256734777,1.0,68.5
半导体,MA5/MA10,样本外,2,1.2691219534808837,0.8708561095469176,-0.35648641595212743,1.0,31.5
半导体,MA5/MA15,全样本,2,4.315721499316046,0.7567368158913125,-0.6251633182401518,1.0,70.5
半导体,MA5/MA15,样本内,2,1.2696624208079454,0.6141165558557837,-0.6162985873930693,1.0,45.0
半导体,MA5/MA15,样本外,2,1.4061446435476532,1.040128312346889,-0.2952052836558729,1.0,25.5
工程机械,MA10/MA20,全样本,2,0.8143915251641122,0.40428874008417803,-0.5495816119501058,1.0,47.0
工程机械,MA10/MA20,样本内,2,0.5757211748308189,0.4202559678725212,-0.5472995982257802,1.0,29.0
工程机械,MA10/MA20,样本外,2,0.15808572421270084,0.35980326993859924,-0.28701696102485297,1.0,18.0
工程机械,MA10/MA30,全样本,2,0.4812001246827181,0.32992564176589356,-0.4782560314792348,1.0,31.5
工程机械,MA10/MA30,样本内,2,0.16045213819180248,0.25819565360185587,-0.4680653117283696,1.0,20.0
工程机械,MA10/MA30,样本外,2,0.2864144345683868,0.5085902921279276,-0.23569638007178817,1.0,11.5
