ts_code,stock_name,industry,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount,amplitude,turnover_rate,adj_factor,price_type,source,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
000001.SZ,平安银行,银行,2019-01-02,7.297501510704419,7.1420701686233885,7.320816212016574,7.118755467311233,,,,539386.32,498695.109,,,108.031,前复权,TuShare Pro: daily + adj_factor,,,0,HOLD,0,HOLD,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,5,15
000001.SZ,平安银行,银行,2019-01-03,7.134298601519337,7.212014272559853,7.25087210808011,7.110983900207183,7.1420701686233885,0.0699441039364643,0.9793253536452662,415537.95,384457.707,1.9586507072905277,,108.031,前复权,TuShare Pro: daily + adj_factor,,,0,HOLD,0,HOLD,0.009793253536452662,0.0,0.0,0.0,0.0,100000.0,100979.32535364527,0.0,5,15
000001.SZ,平安银行,银行,2019-01-04,7.180928004143646,7.577277926450275,7.631678896178637,7.165384869935544,7.212014272559853,0.3652636538904223,5.064655172413768,1481159.06,1422149.888,6.465517241379304,,108.031,前复权,TuShare Pro: daily + adj_factor,,,0,HOLD,0,HOLD,0.05064655172413768,0.0,0.0,0.0,0.0,100000.0,106093.57997823719,0.0,5,15
000001.SZ,平安银行,银行,2019-01-07,7.6472220303867395,7.569506359346225,7.654993597490792,7.484019121201658,7.577277926450275,-0.0077715671040499,-0.1025641025640844,865687.66,841166.43,2.256410256410246,,108.031,前复权,TuShare Pro: daily + adj_factor,,,0,HOLD,0,HOLD,-0.0010256410256408444,-0.0,0.0,0.0,-0.0,100000.0,105984.7660500544,0.0,5,15
000001.SZ,平安银行,银行,2019-01-08,7.561734792242173,7.507333822513813,7.569506359346225,7.476247554097605,7.569506359346225,-0.0621725368324126,-0.8213552361396315,402388.11,389247.795,1.2320328542094654,,108.031,前复权,TuShare Pro: daily + adj_factor,7.40164050989871,,0,HOLD,0,HOLD,-0.008213552361396315,-0.0,0.0,0.0,-0.0,100000.0,105114.25462459194,0.0,5,15
000001.SZ,平安银行,银行,2019-01-09,7.569506359346225,7.724937701427255,7.833739640883978,7.538420090930018,7.507333822513813,0.2176038789134429,2.898550724637672,1233486.36,1229465.116,3.9337474120082976,,108.031,前复权,TuShare Pro: daily + adj_factor,7.518214016459484,,0,HOLD,0,HOLD,0.028985507246376496,0.0,0.0,0.0,0.0,100000.0,108161.04461371052,0.0,5,15
000001.SZ,平安银行,银行,2019-01-10,7.670536731698894,7.849282775092081,7.926998446132595,7.662765164594844,7.724937701427255,0.1243450736648252,1.6096579476861272,1071817.66,1079711.035,3.4205231388329733,,108.031,前复权,TuShare Pro: daily + adj_factor,7.645667716965929,,0,HOLD,0,HOLD,0.016096579476861272,0.0,0.0,0.0,0.0,100000.0,109902.06746463545,0.0,5,15
000001.SZ,平安银行,银行,2019-01-11,7.857054342196132,7.926998446132595,7.942541580340701,7.810424939571824,7.849282775092081,0.0777156710405142,0.9900990099009688,696364.55,708001.802,1.6831683168316878,,108.031,前复权,TuShare Pro: daily + adj_factor,7.715611820902394,,0,HOLD,0,HOLD,0.009900990099009688,0.0,0.0,0.0,0.0,100000.0,110990.20674646349,0.0,5,15
000001.SZ,平安银行,银行,2019-01-14,7.942541580340701,7.857054342196132,7.965856281652855,7.825968073779927,7.926998446132595,-0.0699441039364625,-0.8823529411764564,500443.59,507862.882,1.7647058823529478,,108.031,前复权,TuShare Pro: daily + adj_factor,7.773121417472375,,0,HOLD,0,HOLD,-0.008823529411764675,-0.0,0.0,0.0,-0.0,100000.0,110010.88139281822,0.0,5,15
000001.SZ,平安银行,银行,2019-01-15,7.857054342196132,7.958084714548803,7.9891709829650095,7.841511207988029,7.857054342196132,0.1010303723526702,1.285855588526208,542160.55,553027.309,1.87932739861524,,108.031,前复权,TuShare Pro: daily + adj_factor,7.8632715958793735,,0,HOLD,0,HOLD,0.012858555885262302,0.0,0.0,0.0,0.0,100000.0,111425.46245919474,0.0,5,15
000001.SZ,平安银行,银行,2019-01-16,7.958084714548803,8.14460232504604,8.160145459254144,7.950313147444751,7.958084714548803,0.1865176104972379,2.34375,977699.37,1017495.116,2.636718750000009,,108.031,前复权,TuShare Pro: daily + adj_factor,7.947204520603131,,0,HOLD,0,HOLD,0.0234375,0.0,0.0,0.0,0.0,100000.0,114036.99673558211,0.0,5,15
000001.SZ,平安银行,银行,2019-01-17,8.191231727670349,7.965856281652855,8.214546428982505,7.903683744820441,8.14460232504604,-0.1787460433931853,-2.1946564885496067,882811.92,910212.066,3.816793893129789,,108.031,前复权,TuShare Pro: daily + adj_factor,7.970519221915285,,0,HOLD,0,HOLD,-0.021946564885496067,-0.0,0.0,0.0,-0.0,100000.0,111534.27638737757,0.0,5,15
000001.SZ,平安银行,银行,2019-01-18,8.035800385589317,8.105744489525781,8.152373892150091,7.9891709829650095,7.965856281652855,0.139888207872926,1.7560975609755891,738793.26,769973.637,2.0487804878048665,,108.031,前复权,TuShare Pro: daily + adj_factor,8.006268430593924,,0,HOLD,0,HOLD,0.01756097560975589,0.0,0.0,0.0,0.0,100000.0,113492.92709466808,0.0,5,15
000001.SZ,平安银行,银行,2019-01-21,8.035800385589317,8.035800385589317,8.13683075794199,8.020257251381215,8.105744489525781,-0.0699441039364643,-0.8628954937679789,659355.76,684465.646,1.4381591562799745,,108.031,前复权,TuShare Pro: daily + adj_factor,8.04201763927256,,0,HOLD,0,HOLD,-0.00862895493767979,-0.0,0.0,0.0,-0.0,100000.0,112513.60174102281,0.0,5,15
000001.SZ,平安银行,银行,2019-01-22,8.035800385589317,7.9891709829650095,8.113516056629834,7.973627848756905,8.035800385589317,-0.0466294026243074,-0.5802707930367301,424413.57,438991.45,1.7408123791102577,,108.031,前复权,TuShare Pro: daily + adj_factor,8.0482348929558,7.771048999577961,1,BUY,0,HOLD,-0.005802707930367301,-0.0,0.0,0.0,-0.0,100000.0,111860.71817192598,0.0,5,15
000001.SZ,平安银行,银行,2019-01-23,7.996942550069059,8.04357195269337,8.13683075794199,7.996942550069059,7.9891709829650095,0.05440096972836,0.6809338521400754,537876.63,559384.396,1.7509727626459426,,108.031,前复权,TuShare Pro: daily + adj_factor,8.028028818485266,7.8311491185159605,1,HOLD,1,BUY,0.006809338521400754,0.006809338521400754,1.0,0.001,0.005809338521400754,100580.9338521401,112622.41566920563,0.0,5,15
000001.SZ,平安银行,银行,2019-01-24,8.082429788213627,8.175688593462246,8.199003294774402,8.059115086901471,8.04357195269337,0.132116640768876,1.6425120772946888,679240.88,711495.718,1.7391304347826368,,108.031,前复权,TuShare Pro: daily + adj_factor,8.069995280847145,7.895394073242786,1,HOLD,1,HOLD,0.01642512077294689,0.01642512077294689,0.0,0.0,0.01642512077294689,102232.98783811727,114472.25244831336,0.0,5,15
000001.SZ,平安银行,银行,2019-01-25,8.206774861878452,8.548723814456721,8.579810082872926,8.199003294774402,8.175688593462246,0.3730352209944758,4.562737642585568,2108361.85,2299718.224,4.657794676806062,,108.031,前复权,TuShare Pro: daily + adj_factor,8.158591145833332,7.960157132443216,1,HOLD,1,HOLD,0.04562737642585568,0.04562737642585568,0.0,0.0,0.04562737642585568,106897.61085734697,119695.32100108813,0.0,5,15
000001.SZ,平安银行,银行,2019-01-28,8.579810082872926,8.502094411832411,8.657525753913445,8.455465009208103,8.548723814456721,-0.0466294026243101,-0.545454545454549,1035909.8,1141853.833,2.363636363636381,,108.031,前复权,TuShare Pro: daily + adj_factor,8.251849951081951,8.022329669275628,1,HOLD,1,HOLD,-0.00545454545454549,-0.00545454545454549,0.0,0.0,-0.00545454545454549,106314.53297994327,119042.43743199127,-0.005454545454545379,5,15
000001.SZ,平安银行,银行,2019-01-29,8.517637546040516,8.548723814456721,8.603124784185082,8.369977771063535,8.502094411832411,0.0466294026243101,0.5484460694698434,826631.1,904847.854,2.7422303473491803,,108.031,前复权,TuShare Pro: daily + adj_factor,8.363760517380294,8.09175566873849,1,HOLD,1,HOLD,0.005484460694698434,0.005484460694698434,0.0,0.0,0.005484460694698434,106897.610857347,119695.32100108813,0.0,5,15
000001.SZ,平安银行,银行,2019-01-30,8.509865978936464,8.509865978936464,8.688612022329648,8.439921875,8.548723814456721,-0.0388578355202575,-0.4545454545454519,712001.01,785204.571,2.9090909090908936,,108.031,前复权,TuShare Pro: daily + adj_factor,8.457019322628913,8.144084220572436,1,HOLD,1,HOLD,-0.004545454545454519,-0.004545454545454519,0.0,0.0,-0.004545454545454519,106411.71262617724,119151.25136017411,-0.004545454545454519,5,15
000001.SZ,平安银行,银行,2019-01-31,8.533180680248618,8.626439485497237,8.704155156537754,8.502094411832411,8.509865978936464,0.1165735065607727,1.3698630136986134,831622.75,922602.874,2.37442922374431,,108.031,前复权,TuShare Pro: daily + adj_factor,8.54716950103591,8.19589466793278,1,HOLD,1,HOLD,0.013698630136986134,0.013698630136986134,0.0,0.0,0.013698630136986134,107869.40731968648,120783.4602829162,0.0,5,15
000001.SZ,平安银行,银行,2019-02-01,8.704155156537754,8.704155156537754,8.743012992058011,8.517637546040516,8.626439485497237,0.0777156710405169,0.900900900900914,1014270.07,1127216.186,2.612612612612604,,108.031,前复权,TuShare Pro: daily + adj_factor,8.578255769452117,8.247705115293124,1,HOLD,1,HOLD,0.009009009009009139,0.009009009009009139,0.0,0.0,0.009009009009009139,108841.20378202602,121871.59956474429,0.0,5,15
000001.SZ,平安银行,银行,2019-02-11,8.610896351289135,8.711926723641804,8.711926723641804,8.525409113144567,8.704155156537754,0.0077715671040508,0.0892857142857028,801936.63,889951.528,2.142857142857137,,108.031,前复权,TuShare Pro: daily + adj_factor,8.620222231813996,8.304696607389502,1,HOLD,1,HOLD,0.0008928571428570287,0.0008928571428570287,0.0,0.0,0.0008928571428570287,108938.38342825997,121980.41349292708,0.0,5,15
000001.SZ,平安银行,银行,2019-02-12,8.704155156537754,8.696383589433701,8.789642394682321,8.572038515768876,8.711926723641804,-0.0155431342081033,-0.1784121320249854,959936.9,1071873.084,2.497769848349708,,108.031,前复权,TuShare Pro: daily + adj_factor,8.649754186809393,8.35391653238183,1,HOLD,1,HOLD,-0.001784121320249854,-0.001784121320249854,0.0,0.0,-0.001784121320249854,108744.02413579205,121762.78563656144,-0.001784121320249965,5,15
000001.SZ,平安银行,银行,2019-02-13,8.696383589433701,8.844043364410682,8.867358065722836,8.64198261970534,8.696383589433701,0.1476597749769812,1.6979445933869686,1137365.74,1280182.096,2.591599642537992,,108.031,前复权,TuShare Pro: daily + adj_factor,8.716589663904236,8.400545935006138,1,HOLD,1,HOLD,0.016979445933869686,0.016979445933869686,0.0,0.0,0.016979445933869686,110590.43741423715,123830.2502720348,0.0,5,15
000001.SZ,平安银行,银行,2019-02-14,8.781870827578269,8.743012992058011,8.805185528890423,8.696383589433701,8.844043364410682,-0.1010303723526711,-1.1423550087873546,869185.19,977818.097,1.230228471001757,,108.031,前复权,TuShare Pro: daily + adj_factor,8.73990436521639,8.452356382366482,1,HOLD,1,HOLD,-0.011423550087873546,-0.011423550087873546,0.0,0.0,-0.011423550087873546,109327.10201319578,122415.6692056583,-0.011423550087873435,5,15
000001.SZ,平安银行,银行,2019-02-15,8.727469857849908,8.509865978936464,8.727469857849908,8.471008143416206,8.743012992058011,-0.2331470131215471,-2.6666666666666727,1100127.46,1213914.428,2.93333333333333,,108.031,前复权,TuShare Pro: daily + adj_factor,8.701046529696132,8.47929781499386,1,HOLD,1,HOLD,-0.026666666666666727,-0.026666666666666727,0.0,0.0,-0.026666666666666727,106411.7126261772,119151.25136017406,-0.03778558875219695,5,15
000001.SZ,平安银行,银行,2019-02-18,8.58758164997698,8.828500230202577,8.828500230202577,8.579810082872926,8.509865978936464,0.3186342512661131,3.7442922374429033,1255522.21,1408279.68,2.92237442922375,,108.031,前复权,TuShare Pro: daily + adj_factor,8.724361231008286,8.532144471301411,1,HOLD,1,HOLD,0.03744292237442903,0.03744292237442903,0.0,0.0,0.03744292237442903,110396.07812176921,123612.62241566915,-0.0017574692442885453,5,15
000001.SZ,平安银行,银行,2019-02-19,8.828500230202577,8.758556126266113,9.03056097490792,8.735241424953959,8.828500230202577,-0.0699441039364643,-0.7922535211267623,1270882.04,1445281.382,3.3450704225352257,,108.031,前复权,TuShare Pro: daily + adj_factor,8.73679573837477,8.583436814188152,1,HOLD,1,HOLD,-0.007922535211267623,-0.007922535211267623,0.0,0.0,-0.007922535211267623,109521.46130566364,122633.29706202388,-0.009666080843585556,5,15
000001.SZ,平安银行,银行,2019-02-20,8.805185528890423,8.867358065722836,8.960616870971455,8.743012992058011,8.758556126266113,0.1088019394567236,1.242236024844745,832629.87,949430.819,2.484472049689441,,108.031,前复权,TuShare Pro: daily + adj_factor,8.741458678637201,8.638355888390116,1,HOLD,1,HOLD,0.01242236024844745,0.01242236024844745,0.0,0.0,0.01242236024844745,110881.97635293899,124156.69205658321,0.0,5,15
000001.SZ,平安银行,银行,2019-02-21,8.844043364410682,8.828500230202577,8.976160005179558,8.766327693370165,8.867358065722836,-0.0388578355202593,-0.4382120946538337,754246.48,860591.07,2.366345311130595,,108.031,前复权,TuShare Pro: daily + adj_factor,8.758556126266113,8.681876664172806,1,HOLD,1,HOLD,-0.004382120946538337,-0.004382120946538337,0.0,0.0,-0.004382120946538337,110396.07812176921,123612.62241566915,-0.004382120946538337,5,15
000001.SZ,平安银行,银行,2019-02-22,8.820728663098526,8.968388438075506,8.99170313938766,8.665297321017494,8.828500230202577,0.1398882078729286,1.5845070422535246,1184047.79,1343020.336,3.697183098591549,,108.031,前复权,TuShare Pro: daily + adj_factor,8.850260618093921,8.709854305747392,1,HOLD,1,HOLD,0.015845070422535246,0.015845070422535246,0.0,0.0,0.015845070422535246,112145.31175398035,125571.27312295968,0.0,5,15
000001.SZ,平安银行,银行,2019-02-25,9.092733511740333,9.753316715584717,9.82326081952118,8.99170313938766,8.968388438075506,0.7849282775092092,8.752166377816305,2824935.02,3415946.86,9.272097053726192,,108.031,前复权,TuShare Pro: daily + adj_factor,9.03522391517035,8.793269125997544,1,HOLD,1,HOLD,0.08752166377816328,0.08752166377816328,0.0,0.0,0.08752166377816328,121960.45602360951,136561.47986942326,0.0,5,15
000001.SZ,平安银行,银行,2019-02-26,9.753316715584717,9.481311866942908,9.768859849792818,9.442454031422653,9.753316715584717,-0.2720048486418065,-2.788844621513964,2017544.93,2485673.356,3.3466135458167323,,108.031,前复权,TuShare Pro: daily + adj_factor,9.179775063305708,8.855441662829955,1,HOLD,1,HOLD,-0.02788844621513975,-0.02788844621513975,0.0,0.0,-0.02788844621513975,118559.16840542118,132752.99238302495,-0.02788844621513964,5,15
000001.SZ,平安银行,银行,2019-02-27,9.512398135359115,9.636743209023942,9.83880395372928,9.442454031422653,9.481311866942908,0.1554313420810338,1.639344262295106,1979013.88,2454404.411,4.180327868852444,,108.031,前复权,TuShare Pro: daily + adj_factor,9.333652091965929,8.930566811502455,1,HOLD,1,HOLD,0.01639344262295106,0.01639344262295106,0.0,0.0,0.01639344262295106,120502.76133010026,134929.27094668115,-0.01195219123505964,5,15
000001.SZ,平安银行,银行,2019-02-28,9.667829477440144,9.605656940607734,9.799946118209023,9.53571283667127,9.636743209023942,-0.0310862684162085,-0.3225806451613189,1113099.8,1383110.81,2.741935483870974,,108.031,前复权,TuShare Pro: daily + adj_factor,9.489083434046961,8.995847975176487,1,HOLD,1,HOLD,-0.003225806451613189,-0.003225806451613189,0.0,0.0,-0.003225806451613189,120114.04274516442,134494.01523394987,-0.015139442231075773,5,15
000001.SZ,平安银行,银行,2019-03-01,9.698915745856354,9.916519624769798,9.9320627589779,9.481311866942908,9.605656940607734,0.3108626841620641,3.2362459546925626,1712679.16,2137669.556,4.69255663430421,,108.031,前复权,TuShare Pro: daily + adj_factor,9.678709671385821,9.076672273058625,1,HOLD,1,HOLD,0.032362459546925626,0.032362459546925626,0.0,0.0,0.032362459546925626,124001.2285945225,138846.5723612622,0.0,5,15
000001.SZ,平安银行,银行,2019-03-04,9.869890222145488,10.095265668162984,10.398356785220995,9.807717685313074,9.916519624769798,0.1787460433931862,1.802507836990608,2456830.39,3195011.702,5.956112852664601,,108.031,前复权,TuShare Pro: daily + adj_factor,9.747099461901474,9.168894869360036,1,HOLD,1,HOLD,0.018025078369906078,0.018025078369906078,0.0,0.0,0.018025078369906078,126236.3604579034,141349.29270946677,0.0,5,15
000001.SZ,平安银行,银行,2019-03-05,10.03309313133057,10.149666637891343,10.32841268128453,9.97869216160221,10.095265668162984,0.0544009697283609,0.5388760585065544,1408422.22,1838251.656,3.4642032332563453,,108.031,前复权,TuShare Pro: daily + adj_factor,9.88077041609116,9.26578040592388,1,HOLD,1,HOLD,0.005388760585065322,0.005388760585065322,0.0,0.0,0.005388760585065322,126916.61798154106,142110.9902067464,0.0,5,15
000001.SZ,平安银行,银行,2019-03-06,10.149666637891343,10.165209772099448,10.21961074182781,9.97869216160221,10.149666637891343,0.0155431342081016,0.153139356814691,1245760.2,1614670.974,2.3736600306278834,,108.031,前复权,TuShare Pro: daily + adj_factor,9.98646372870626,9.353858166436464,1,HOLD,1,HOLD,0.0015313935681471325,0.0015313935681471325,0.0,0.0,0.0015313935681471325,127110.97727400897,142328.61806311202,0.0,5,15
000001.SZ,平安银行,银行,2019-03-07,10.149666637891343,9.900976490561694,10.149666637891343,9.753316715584717,10.165209772099448,-0.2642332815377521,-2.599388379204881,1782057.31,2274151.007,3.8990825688073416,,108.031,前复权,TuShare Pro: daily + adj_factor,10.045527638697054,9.431055733003376,1,HOLD,1,HOLD,-0.025993883792049033,-0.025993883792049033,0.0,0.0,-0.025993883792049033,123806.8693020546,138628.9445048966,-0.025993883792048922,5,15
