ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,pre_close,change,pct_chg,amplitude,turnover_rate,price_type,source,adj_factor,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
000425.SZ,徐工机械,工程机械,2019-01-02,2.096,2.066,2.096,2.046,234378.66,75407.791,,,,,,前复权,TuShare Pro daily + TuShare legacy qfq,,,,0,HOLD,0,HOLD,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-03,2.056,2.046,2.086,2.026,309744.49,99310.708,2.066,-0.02,-0.968054211035818,2.9041626331074566,,前复权,TuShare Pro daily + TuShare legacy qfq,,,,0,HOLD,0,HOLD,-0.009680542110358181,-0.0,0.0,0.0,-0.0,100000.0,99031.94578896418,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-04,2.026,2.096,2.106,2.006,352364.97,113607.711,2.046,0.0500000000000002,2.443792766373432,4.887585532746828,,前复权,TuShare Pro daily + TuShare legacy qfq,,,,0,HOLD,0,HOLD,0.024437927663734316,0.0,0.0,0.0,0.0,100000.0,101452.08131655374,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-07,2.116,2.126,2.136,2.086,413866.76,135157.339,2.096,0.0299999999999998,1.4312977099236512,2.3854961832061194,,前复权,TuShare Pro daily + TuShare legacy qfq,,,,0,HOLD,0,HOLD,0.014312977099236512,0.0,0.0,0.0,0.0,100000.0,102904.16263310747,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-08,2.116,2.106,2.126,2.096,280974.1,91725.116,2.126,-0.02,-0.940733772342428,1.4111006585136314,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.088,,0,HOLD,0,HOLD,-0.00940733772342428,-0.0,0.0,0.0,-0.0,100000.0,101936.10842207163,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-09,2.126,2.126,2.166,2.106,501782.43,165474.09,2.106,0.02,0.949667616334282,2.849002849002852,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.0999999999999996,,0,HOLD,0,HOLD,0.009496676163342821,0.0,0.0,0.0,0.0,100000.0,102904.16263310744,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-10,2.136,2.106,2.146,2.106,307533.42,100870.519,2.126,-0.02,-0.940733772342428,1.881467544684856,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.1119999999999997,,0,HOLD,0,HOLD,-0.00940733772342428,-0.0,0.0,0.0,-0.0,100000.0,101936.10842207161,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-11,2.116,2.136,2.136,2.106,239073.11,78458.749,2.106,0.0300000000000002,1.4245014245014342,1.4245014245014362,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.12,,0,HOLD,0,HOLD,0.014245014245014342,0.0,0.0,0.0,0.0,100000.0,103388.18973862535,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-14,2.126,2.166,2.206,2.126,485723.68,161093.897,2.136,0.0299999999999998,1.404494382022459,3.745318352059928,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.128,,0,HOLD,0,HOLD,0.014044943820224587,0.0,0.0,0.0,0.0,100000.0,104840.27105517908,0.0,5,15
000425.SZ,徐工机械,工程机械,2019-01-15,2.156,2.176,2.176,2.126,436614.49,144347.7,2.166,0.0100000000000002,0.4616805170821969,2.308402585410908,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.1420000000000003,,0,HOLD,0,HOLD,0.004616805170821969,0.0,0.0,0.0,0.0,100000.0,105324.29816069701,0.0,5,15
