ts_code,stock_name,industry,parameter,short_window,long_window,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,holding_ratio,total_cost_rate
000001.SZ,平安银行,银行,MA5/MA10,5,10,全样本,1823,0.09497163845934375,0.012620706559879125,0.21241436739344893,0.16386424825444207,-0.48563963060922477,0.4631612058236332,-0.3681895673642894,101,100,0.4788809654415798,0.201
000001.SZ,平安银行,银行,MA5/MA10,5,10,样本内,1214,0.12404816374243,0.024570494893185302,0.23030382097247168,0.2188668583694166,-0.48563963060922477,0.10387759069155922,0.020170573050870777,66,65,0.4686985172981878,0.131
000001.SZ,平安银行,银行,MA5/MA10,5,10,样本外,609,-0.02586768629760461,-0.010786154848220653,0.17142756059314118,0.02165386483032502,-0.1899840988809356,0.3254741451060579,-0.3513418314036625,35,35,0.49917898193760263,0.07
000001.SZ,平安银行,银行,MA5/MA15,5,15,全样本,1823,-0.2486680105963226,-0.03875125950470071,0.21133751364379783,-0.08255767252368912,-0.577029842602784,0.4631612058236332,-0.7118292164199558,80,79,0.4777838727372463,0.15900000000000003
000001.SZ,平安银行,银行,MA5/MA15,5,15,样本内,1214,-0.17925477451565164,-0.04017618313364846,0.22947651418771361,-0.06541067000943043,-0.5352210270917852,0.10387759069155922,-0.28313236520721086,49,48,0.457166392092257,0.097
000001.SZ,平安银行,银行,MA5/MA15,5,15,样本外,609,-0.08457342659496725,-0.03590445675063236,0.16965985191438177,-0.13147580712228563,-0.2170094917254255,0.3254741451060579,-0.4100475717010251,31,31,0.5188834154351396,0.062
000001.SZ,平安银行,银行,MA10/MA20,10,20,全样本,1823,-0.2184992670356275,-0.03350583717620437,0.20798574193832026,-0.06064673538863386,-0.5681045491978951,0.4631612058236332,-0.6816604728592607,52,52,0.4854635216675809,0.10400000000000001
000001.SZ,平安银行,银行,MA10/MA20,10,20,样本内,1214,-0.15829557329019917,-0.0351389769786109,0.2255261873118348,-0.04676220752009037,-0.5196688025033853,0.10387759069155922,-0.2621731639817584,34,34,0.45634266886326197,0.068
000001.SZ,平安银行,银行,MA10/MA20,10,20,样本外,609,-0.07152593218591519,-0.030242032139019992,0.1678053952349715,-0.09972971373860247,-0.22154413831299258,0.3254741451060579,-0.39700007729197306,18,18,0.5435139573070608,0.036
000001.SZ,平安银行,银行,MA10/MA30,10,30,全样本,1823,-0.29838447220466946,-0.04780537668690532,0.20728816924864096,-0.13341134655153836,-0.5844660498803982,0.4631612058236332,-0.7615456780283026,34,34,0.4701042238069117,0.068
000001.SZ,平安银行,银行,MA10/MA30,10,30,样本内,1214,-0.29161438780881976,-0.0690652276772813,0.22461271444813435,-0.2071250911628276,-0.5844660498803982,0.10387759069155922,-0.395491978500379,21,21,0.45057660626029655,0.041999999999999996
000001.SZ,平安银行,银行,MA10/MA30,10,30,样本外,609,-0.009557060842764642,-0.0039657799756657175,0.16763818222855434,0.0594026162629029,-0.18641203319847488,0.3254741451060579,-0.3350312059488225,13,13,0.5090311986863711,0.026000000000000002
000001.SZ,平安银行,银行,MA20/MA60,20,60,全样本,1823,0.026262180746147168,0.003589894679918215,0.2112754473222312,0.12198900496107416,-0.412313511891817,0.4631612058236332,-0.436899025077486,18,18,0.45145364783324193,0.036
000001.SZ,平安银行,银行,MA20/MA60,20,60,样本内,1214,0.15234935886666712,0.029872670038452842,0.229751429789637,0.24221681642654946,-0.32649928030562836,0.10387759069155922,0.0484717681751079,9,9,0.41515650741350907,0.018000000000000002
000001.SZ,平安银行,银行,MA20/MA60,20,60,样本外,609,-0.10941749318498928,-0.04681869768089075,0.16862074782875205,-0.20035044961410062,-0.27429132736419415,0.3254741451060579,-0.43489163829104716,9,9,0.5238095238095238,0.018000000000000002
600036.SH,招商银行,银行,MA5/MA10,5,10,全样本,1823,1.3885446162925779,0.12790043951239038,0.2492930603953497,0.6059694536723794,-0.3190598195396337,2.09136630343671,-0.702821687144132,98,97,0.5128908392759188,0.195
600036.SH,招商银行,银行,MA5/MA10,5,10,样本内,1214,0.7669213395260221,0.12542593207941843,0.2752062921909027,0.5649904678359725,-0.3190598195396337,0.8298407376362089,-0.06291939811018676,66,65,0.5,0.131
600036.SH,招商银行,银行,MA5/MA10,5,10,样本外,609,0.3518115169367477,0.13284944637209217,0.18743771672700169,0.7588821582582765,-0.21060168028834858,0.6894182317911126,-0.3376067148543649,32,32,0.5385878489326765,0.064
600036.SH,招商银行,银行,MA5/MA15,5,15,全样本,1823,1.4814019500753384,0.1338626132187084,0.25641861836899116,0.616498948896318,-0.34401352841144994,2.09136630343671,-0.6099643533613714,64,63,0.5353812397147559,0.127
600036.SH,招商银行,银行,MA5/MA15,5,15,样本内,1214,0.8892381927500217,0.14117201834087467,0.28366413650327105,0.6051137042874751,-0.34401352841144994,0.8298407376362089,0.05939745511381278,43,42,0.5123558484349259,0.08499999999999999
600036.SH,招商银行,银行,MA5/MA15,5,15,样本外,609,0.3134404965968569,0.11943120219284453,0.19104245967857028,0.6859021033527029,-0.2371243592180956,0.6894182317911126,-0.3759777351942557,21,21,0.5812807881773399,0.042
