ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,amplitude,pct_chg,change,turnover_rate,pre_close,price_type,source,adj_factor,short_ma,long_ma,target_position,signal,position,execution,market_return,gross_strategy_return,turnover,transaction_cost,strategy_return,strategy_equity,benchmark_equity,drawdown,short_window,long_window
002594.SZ,比亚迪,新能源汽车,2019-01-02,14.1,13.48,14.22,13.42,85554,424670608.0,5.68,-4.33,-0.61,0.75,,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-03,13.51,13.11,13.71,13.08,83478,407386240.0,4.67,-2.74,-0.37,0.73,13.48,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,-0.027448071216617298,-0.0,0.0,0.0,-0.0,100000.0,97255.19287833828,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-04,13.02,13.97,14.09,12.93,126538,627892544.0,8.85,6.56,0.86,1.11,13.11,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,0.06559877955758964,0.0,0.0,0.0,0.0,100000.0,103635.01483679525,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-07,14.04,14.22,14.38,13.76,136046,693197808.0,4.44,1.79,0.25,1.19,13.97,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,,,0,HOLD,0,HOLD,0.017895490336435227,0.0,0.0,0.0,0.0,100000.0,105489.61424332343,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-08,14.52,14.72,14.97,14.44,147052,777381424.0,3.73,3.52,0.5,1.29,14.22,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,13.9,,0,HOLD,0,HOLD,0.035161744022503605,0.0,0.0,0.0,0.0,100000.0,109198.81305637982,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-09,14.36,13.91,14.76,13.26,262205,1327590608.0,10.19,-5.5,-0.81,2.3,14.72,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,13.985999999999999,,0,HOLD,0,HOLD,-0.05502717391304346,-0.0,0.0,0.0,-0.0,100000.0,103189.91097922849,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-10,13.72,13.37,13.82,13.3,153456,757175104.0,3.74,-3.88,-0.54,1.34,13.91,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,14.038,,0,HOLD,0,HOLD,-0.03882099209202017,-0.0,0.0,0.0,-0.0,100000.0,99183.97626112761,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-11,13.26,13.43,13.52,13.22,96800,472494720.0,2.24,0.45,0.06,0.85,13.37,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,13.930000000000001,,0,HOLD,0,HOLD,0.004487658937920802,0.0,0.0,0.0,0.0,100000.0,99629.08011869439,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-14,13.49,13.36,13.49,12.86,109746,527419472.0,4.69,-0.52,-0.07,0.96,13.43,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,13.758,,0,HOLD,0,HOLD,-0.005212211466865235,-0.0,0.0,0.0,-0.0,100000.0,99109.79228486649,0.0,5,15
002594.SZ,比亚迪,新能源汽车,2019-01-15,13.22,13.36,13.41,13.04,83531,405053072.0,2.77,0.0,0.0,0.73,13.36,前复权,TuShare Pro daily 日期校验 + 东方财富前复权行情,,13.486,,0,HOLD,0,HOLD,0.0,0.0,0.0,0.0,0.0,100000.0,99109.79228486649,0.0,5,15
