ts_code,trade_date,date,adj_factor,vol,amount,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-07-04,2025-07-04,1.0,56859.33,3111587.176,365.47746781115876,374.175160944206,361.23256437768237,367.13385193133047,,,
688256.SH,2025-07-07,2025-07-07,1.0,33310.55,1810291.915,364.8068669527897,371.418991416309,362.80177038626607,363.0498927038626,367.13385193133047,-4.083959227467858,-1.1123897199846695
688256.SH,2025-07-08,2025-07-08,1.0,39527.81,2143484.029,362.1244635193133,365.6786480686695,360.850321888412,363.9820278969957,363.0498927038626,0.9321351931330923,0.25675126528502484
688256.SH,2025-07-09,2025-07-09,1.0,49069.59,2643083.782,364.8068669527897,365.3299356223176,357.7655579399141,358.7714592274678,363.9820278969957,-5.210568669527902,-1.431545590213167
688256.SH,2025-07-10,2025-07-10,1.0,85815.16,4522151.657,358.10756437768237,360.6960836909871,349.16174892703856,351.05954935622316,358.7714592274678,-7.711909871244643,-2.149532710280376
688256.SH,2025-07-11,2025-07-11,1.0,116436.72,6359225.561,350.7242489270386,375.5096566523605,350.7242489270386,371.4994635193133,351.05954935622316,20.439914163090123,5.822349570200572
688256.SH,2025-07-14,2025-07-14,1.0,65114.93,3678055.659,372.1834763948498,382.2424892703863,371.5128755364807,378.92972103004286,371.4994635193133,7.430257510729575,2.0000722047727253
688256.SH,2025-07-15,2025-07-15,1.0,59685.89,3309396.823,378.21888412017165,378.21888412017165,366.6577253218884,370.9093347639485,378.92972103004286,-8.020386266094363,-2.1165893887374643
688256.SH,2025-07-16,2025-07-16,1.0,97122.72,5629778.216,367.5496244635193,397.73336909871244,367.5496244635193,389.0759120171674,370.9093347639485,18.166577253218918,4.897848490327256
688256.SH,2025-07-17,2025-07-17,1.0,79737.17,4557378.595,385.59549356223175,392.29479613733906,375.02011802575106,390.55793991416306,389.0759120171674,1.4820278969956462,0.38090970199415836
688256.SH,2025-07-18,2025-07-18,1.0,51156.45,2984533.701,389.3173283261802,395.64109442060084,387.62741416309007,390.7054721030043,390.55793991416306,0.14753218884123953,0.03777472527473496
688256.SH,2025-07-21,2025-07-21,1.0,59576.41,3509550.816,393.64270386266094,402.07215665236055,389.00214592274676,390.28969957081546,390.7054721030043,-0.41577253218883925,-0.1064158456626956
688256.SH,2025-07-22,2025-07-22,1.0,65632.2,3894927.712,390.2226394849785,403.09146995708153,389.0155579399142,398.28996781115876,390.28969957081546,8.000268240343303,2.049828178694147
688256.SH,2025-07-23,2025-07-23,1.0,54486.53,3236985.175,397.8004291845494,404.3723175965665,393.32752145922746,399.3830472103004,398.28996781115876,1.0930793991416294,0.2744431161921435
688256.SH,2025-07-24,2025-07-24,1.0,49166.21,2941834.944,396.6604077253219,405.6799892703863,396.6604077253219,402.5147532188841,399.3830472103004,3.1317060085837056,0.7841359392840389
688256.SH,2025-07-25,2025-07-25,1.0,127392.73,8133258.858,402.0453326180257,468.08610515021456,402.0453326180257,451.5155579399141,402.5147532188841,49.00080472103002,12.173666761074916
688256.SH,2025-07-28,2025-07-28,1.0,95079.83,6379660.931,451.3143776824034,461.84281115879827,438.5863733905579,455.337982832618,451.5155579399141,3.822424892703907,0.8465765631962078
688256.SH,2025-07-29,2025-07-29,1.0,114103.81,7988279.23,453.3261802575107,481.49141630901283,451.3143776824034,476.64967811158795,455.337982832618,21.31169527896992,4.680412371134013
688256.SH,2025-07-30,2025-07-30,1.0,76531.96,5304272.237,469.4206008583691,474.7854077253219,456.0085836909871,459.1604077253219,476.64967811158795,-17.48927038626607,-3.669208475196259
688256.SH,2025-07-31,2025-07-31,1.0,117690.78,8333907.585,459.3615879828326,492.8916309012875,456.01528969957076,475.7913090128755,459.1604077253219,16.630901287553627,3.6220242441945336
688256.SH,2025-08-01,2025-08-01,1.0,71835.98,4998268.095,469.4206008583691,480.15021459227466,456.0085836909871,462.1110515021459,475.7913090128755,-13.680257510729575,-2.8752642706131
688256.SH,2025-08-04,2025-08-04,1.0,57761.09,3987683.051,461.0917381974249,469.38707081545067,452.76958154506434,462.0842274678111,462.1110515021459,-0.0268240343348225,-0.005804672761585737
688256.SH,2025-08-05,2025-08-05,1.0,48788.23,3379825.557,460.0321888412017,469.35354077253214,457.7387339055794,466.0675965665236,462.0842274678111,3.983369098712501,0.8620439439236179
688256.SH,2025-08-06,2025-08-06,1.0,43399.78,2997970.928,463.96190987124464,466.99973175965664,459.3615879828326,465.625,466.0675965665236,-0.4425965665236049,-0.09496402877697836
688256.SH,2025-08-07,2025-08-07,1.0,108244.28,7687346.63,469.76260729613733,490.2092274678111,460.0388948497854,471.4324034334764,465.625,5.807403433476395,1.2472275830284876
688256.SH,2025-08-08,2025-08-08,1.0,65253.31,4496880.601,463.3851931330472,471.3854613733905,449.3025751072961,464.59227467811155,471.4324034334764,-6.840128755364844,-1.4509246088193535
688256.SH,2025-08-11,2025-08-11,1.0,55594.27,3916076.012,464.39109442060084,477.3336909871244,463.12365879828326,474.3830472103004,464.59227467811155,9.79077253218884,2.107390300230947
688256.SH,2025-08-12,2025-08-12,1.0,191621.93,15126074.903,471.0971030042918,569.2596566523605,466.7784334763948,569.2596566523605,474.3830472103004,94.8766094420601,20.000000000000004
688256.SH,2025-08-13,2025-08-13,1.0,134683.86,11355310.256,556.5987124463519,582.0815450643777,549.8927038626609,576.7167381974249,569.2596566523605,7.457081545064398,1.3099613608519496
688256.SH,2025-08-14,2025-08-14,1.0,150710.68,14035314.03,580.0697424892703,660.5418454935622,580.0697424892703,636.4002145922747,576.7167381974249,59.68347639484978,10.348837209302324
688256.SH,2025-08-15,2025-08-15,1.0,110398.69,10171678.36,618.9645922746781,627.0118025751073,606.7663626609441,619.4340128755365,636.4002145922747,-16.96620171673817,-2.6659641728134833
688256.SH,2025-08-18,2025-08-18,1.0,115423.02,11085893.402,637.258583690987,662.5469420600858,620.6142703862661,637.0708154506437,619.4340128755365,17.636802575107254,2.8472447764425612
