ts_code,trade_date,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,qfq_change,qfq_pct_chg
688256.SH,2025-07-04,2025-07-04,545.0,557.97,538.67,547.47,547.3,0.17,0.0311,56859.33,3111587.176,1.0,365.47746781115876,374.175160944206,361.23256437768237,367.13385193133047,,,
688256.SH,2025-07-07,2025-07-07,544.0,553.86,541.01,541.38,547.47,-6.09,-1.1124,33310.55,1810291.915,1.0,364.8068669527897,371.418991416309,362.80177038626607,363.0498927038626,367.13385193133047,-4.083959227467858,-1.1123897199846695
688256.SH,2025-07-08,2025-07-08,540.0,545.3,538.1,542.77,541.38,1.39,0.2568,39527.81,2143484.029,1.0,362.1244635193133,365.6786480686695,360.850321888412,363.9820278969957,363.0498927038626,0.9321351931330923,0.25675126528502484
688256.SH,2025-07-09,2025-07-09,544.0,544.78,533.5,535.0,542.77,-7.77,-1.4315,49069.59,2643083.782,1.0,364.8068669527897,365.3299356223176,357.7655579399141,358.7714592274678,363.9820278969957,-5.210568669527902,-1.431545590213167
688256.SH,2025-07-10,2025-07-10,534.01,537.87,520.67,523.5,535.0,-11.5,-2.1495,85815.16,4522151.657,1.0,358.10756437768237,360.6960836909871,349.16174892703856,351.05954935622316,358.7714592274678,-7.711909871244643,-2.149532710280376
688256.SH,2025-07-11,2025-07-11,523.0,559.96,523.0,553.98,523.5,30.48,5.8223,116436.72,6359225.561,1.0,350.7242489270386,375.5096566523605,350.7242489270386,371.4994635193133,351.05954935622316,20.439914163090123,5.822349570200572
688256.SH,2025-07-14,2025-07-14,555.0,570.0,554.0,565.06,553.98,11.08,2.0001,65114.93,3678055.659,1.0,372.1834763948498,382.2424892703863,371.5128755364807,378.92972103004286,371.4994635193133,7.430257510729575,2.0000722047727253
688256.SH,2025-07-15,2025-07-15,564.0,564.0,546.76,553.1,565.06,-11.96,-2.1166,59685.89,3309396.823,1.0,378.21888412017165,378.21888412017165,366.6577253218884,370.9093347639485,378.92972103004286,-8.020386266094363,-2.1165893887374643
688256.SH,2025-07-16,2025-07-16,548.09,593.1,548.09,580.19,553.1,27.09,4.8978,97122.72,5629778.216,1.0,367.5496244635193,397.73336909871244,367.5496244635193,389.0759120171674,370.9093347639485,18.166577253218918,4.897848490327256
688256.SH,2025-07-17,2025-07-17,575.0,584.99,559.23,582.4,580.19,2.21,0.3809,79737.17,4557378.595,1.0,385.59549356223175,392.29479613733906,375.02011802575106,390.55793991416306,389.0759120171674,1.4820278969956462,0.38090970199415836
688256.SH,2025-07-18,2025-07-18,580.55,589.98,578.03,582.62,582.4,0.22,0.0378,51156.45,2984533.701,1.0,389.3173283261802,395.64109442060084,387.62741416309007,390.7054721030043,390.55793991416306,0.14753218884123953,0.03777472527473496
688256.SH,2025-07-21,2025-07-21,587.0,599.57,580.08,582.0,582.62,-0.62,-0.1064,59576.41,3509550.816,1.0,393.64270386266094,402.07215665236055,389.00214592274676,390.28969957081546,390.7054721030043,-0.41577253218883925,-0.1064158456626956
688256.SH,2025-07-22,2025-07-22,581.9,601.09,580.1,593.93,582.0,11.93,2.0498,65632.2,3894927.712,1.0,390.2226394849785,403.09146995708153,389.0155579399142,398.28996781115876,390.28969957081546,8.000268240343303,2.049828178694147
688256.SH,2025-07-23,2025-07-23,593.2,603.0,586.53,595.56,593.93,1.63,0.2744,54486.53,3236985.175,1.0,397.8004291845494,404.3723175965665,393.32752145922746,399.3830472103004,398.28996781115876,1.0930793991416294,0.2744431161921435
688256.SH,2025-07-24,2025-07-24,591.5,604.95,591.5,600.23,595.56,4.67,0.7841,49166.21,2941834.944,1.0,396.6604077253219,405.6799892703863,396.6604077253219,402.5147532188841,399.3830472103004,3.1317060085837056,0.7841359392840389
