trade_date,ts_code,open,close,high,low,volume,amount,amplitude_pct,pct_change,price_change,turnover_rate,stock_name
2018-10-16,300760,58.56000000,70.27000000,70.27000000,58.56000000,4199.48000000,,16.66429486,,,,迈瑞医疗
2018-10-17,300760,77.30000000,77.30000000,77.30000000,77.30000000,1865.47000000,,0.00000000,10.00426925,7.03000000,,迈瑞医疗
2018-10-18,300760,85.03000000,80.97000000,85.03000000,73.38000000,557185.41000000,,14.38804495,4.74773609,3.67000000,,迈瑞医疗
2018-10-19,300760,79.50000000,89.07000000,89.07000000,79.40000000,353192.06000000,,10.85662962,10.00370508,8.10000000,,迈瑞医疗
2018-10-22,300760,94.00000000,97.98000000,97.98000000,92.01000000,176857.66000000,,6.09308022,10.00336814,8.91000000,,迈瑞医疗
2018-10-23,300760,102.00000000,94.70000000,105.80000000,94.67000000,329626.14000000,,11.75290391,-3.34762196,-3.28000000,,迈瑞医疗
2018-10-24,300760,95.39000000,97.05000000,100.50000000,95.20000000,241499.84000000,,5.46110252,2.48152059,2.35000000,,迈瑞医疗
2018-10-25,300760,93.12000000,99.58000000,101.37000000,93.12000000,193153.38000000,,8.28479614,2.60690366,2.53000000,,迈瑞医疗
2018-10-26,300760,99.80000000,97.20000000,103.00000000,92.51000000,182721.24000000,,10.79218107,-2.39003816,-2.38000000,,迈瑞医疗
2018-10-29,300760,96.50000000,97.52000000,98.36000000,94.01000000,102860.18000000,,4.46062346,0.32921811,0.32000000,,迈瑞医疗
2018-10-30,300760,96.50000000,97.35000000,99.90000000,92.71000000,140057.35000000,,7.38572162,-0.17432322,-0.17000000,,迈瑞医疗
2018-10-31,300760,97.80000000,99.00000000,101.94000000,97.80000000,135227.23000000,,4.18181818,1.69491525,1.65000000,,迈瑞医疗
2018-11-01,300760,100.98000000,102.33000000,105.60000000,99.10000000,156641.45000000,,6.35199844,3.36363636,3.33000000,,迈瑞医疗
2018-11-02,300760,106.29000000,105.40000000,107.38000000,102.67000000,162176.63000000,,4.46869070,3.00009772,3.07000000,,迈瑞医疗
2018-11-05,300760,104.88000000,102.42000000,106.57000000,99.45000000,133495.37000000,,6.95176723,-2.82732448,-2.98000000,,迈瑞医疗
2018-11-06,300760,100.70000000,112.66000000,112.66000000,99.85000000,135297.40000000,,11.37049530,9.99804726,10.24000000,,迈瑞医疗
2018-11-07,300760,112.65000000,110.00000000,113.68000000,108.70000000,115595.22000000,,4.52727273,-2.36108645,-2.66000000,,迈瑞医疗
2018-11-08,300760,112.00000000,109.28000000,112.99000000,107.79000000,90427.12000000,,4.75841874,-0.65454545,-0.72000000,,迈瑞医疗
2018-11-09,300760,107.50000000,110.78000000,113.80000000,107.00000000,87032.55000000,,6.13829211,1.37262079,1.50000000,,迈瑞医疗
2018-11-12,300760,109.92000000,112.01000000,112.77000000,109.17000000,79923.19000000,,3.21399875,1.11030872,1.23000000,,迈瑞医疗
2018-11-13,300760,110.00000000,110.06000000,117.00000000,108.53000000,136396.29000000,,7.69580229,-1.74091599,-1.95000000,,迈瑞医疗
2018-11-14,300760,108.03000000,111.86000000,113.60000000,108.01000000,85021.81000000,,4.99731808,1.63547156,1.80000000,,迈瑞医疗
2018-11-15,300760,110.86000000,112.00000000,112.78000000,109.20000000,67308.72000000,,3.19642857,0.12515645,0.14000000,,迈瑞医疗
2018-11-16,300760,112.05000000,110.65000000,114.00000000,109.66000000,69091.66000000,,3.92227745,-1.20535714,-1.35000000,,迈瑞医疗
2018-11-19,300760,109.01000000,110.15000000,112.85000000,108.60000000,69281.35000000,,3.85837494,-0.45187528,-0.50000000,,迈瑞医疗
2018-11-20,300760,108.80000000,107.00000000,110.97000000,107.00000000,54624.85000000,,3.71028037,-2.85973672,-3.15000000,,迈瑞医疗
2018-11-21,300760,106.00000000,111.70000000,113.03000000,105.65000000,90622.60000000,,6.60698299,4.39252336,4.70000000,,迈瑞医疗
2018-11-22,300760,111.35000000,111.51000000,112.34000000,110.12000000,51972.60000000,,1.99085284,-0.17009848,-0.19000000,,迈瑞医疗
2018-11-23,300760,111.80000000,108.30000000,113.60000000,108.00000000,59508.53000000,,5.17082179,-2.87866559,-3.21000000,,迈瑞医疗
2018-11-26,300760,109.10000000,109.59000000,111.29000000,108.30000000,41793.17000000,,2.72835113,1.19113573,1.29000000,,迈瑞医疗
2018-11-27,300760,110.66000000,106.56000000,111.00000000,104.50000000,80217.25000000,,6.09984985,-2.76485081,-3.03000000,,迈瑞医疗
2018-11-28,300760,105.80000000,109.61000000,110.00000000,105.20000000,55165.45000000,,4.37916249,2.86223724,3.05000000,,迈瑞医疗
