industry,average_weight,active_day_average_weight,max_weight,holding_days
半导体,0.20852720017398085,0.45363811967673023,0.7855892995576448,57
工程机械,0.11332714706540038,0.39034906211415693,0.597686193435748,36
银行,0.06864738693113653,0.4053464752124253,0.4148475247285397,21
新能源汽车,0.05895798791742709,0.2811842500677292,0.47473082997373145,26
食品饮料,0.05074377300156335,0.28601035691790244,0.29717744907241683,22
