trade_date,symbol,shares,close,market_value,weight
2019-05-06,600519.SH,500,632.2,316100.0,0.3327530830835563
2019-05-06,000858.SZ,3700,65.84,243608.0,0.2564419900785162
2019-05-06,002594.SZ,17200,14.44,248368.0,0.26145276095949604
2019-05-07,600519.SH,500,616.2,308100.0,0.3238462200643634
2019-05-07,002594.SZ,17200,14.76,253872.0,0.2668467626750408
2019-05-08,600519.SH,500,610.6,305300.0,0.32414257732721946
2019-05-08,002594.SZ,17200,14.37,247164.0,0.26241852598265597
2019-05-09,600519.SH,500,585.01,292505.0,0.31623991988670364
2019-05-09,002594.SZ,17200,14.13,243036.0,0.26275682524943134
2019-06-03,600584.SH,26600,13.55,360430.0,0.3905410778147375
2019-06-04,600584.SH,26600,13.25,352450.0,0.3852253265918738
2019-06-05,600584.SH,26600,12.83,341278.0,0.37762556463314284
2019-07-01,000001.SZ,32000,10.939832024056168,350074.6247697974,0.3815290293674455
2019-07-01,600519.SH,300,772.6,231780.0,0.25260556512754095
2019-07-01,000858.SZ,1800,101.42,182556.0,0.19895876066711263
2019-07-02,000001.SZ,32000,11.136167846454878,356357.3710865561,0.38509229234122616
2019-07-02,600519.SH,300,765.74,229722.0,0.2482456622448367
2019-07-02,000858.SZ,1800,103.42,186156.0,0.2011667123777863
2019-07-03,000001.SZ,32000,11.002659487223756,352085.1035911602,0.39007123043232994
2019-07-03,600519.SH,300,728.64,218592.0,0.24217568290442334
2019-07-03,000858.SZ,1800,99.33,178794.0,0.19808391454954194
2019-07-04,000001.SZ,32000,10.98695262143186,351582.4838858195,0.3912432672539206
2019-07-04,600519.SH,300,721.94,216582.00000000003,0.2410138536250507
2019-07-04,000858.SZ,1800,98.51,177318.0,0.19732061989032668
2019-07-05,000001.SZ,32000,10.93197859116022,349823.3149171271,0.38250798236216005
2019-07-05,600519.SH,300,740.56,222167.99999999997,0.24292558500730094
2019-07-05,000858.SZ,1800,105.23,189414.0,0.20711131557457826
2019-07-08,000001.SZ,32000,10.672815305593922,341530.0897790055,0.3808461956623049
2019-07-08,600519.SH,300,725.6,217680.0,0.24273878745329425
2019-07-08,000858.SZ,1800,102.45,184410.0,0.2056388266917585
2019-07-09,000001.SZ,32000,10.672815305593922,341530.0897790055,0.3827643573278949
2019-07-09,600519.SH,300,716.8,215040.0,0.24100262279394116
2019-07-09,000858.SZ,1800,101.42,182556.0,0.20459670204041444
2019-07-10,000001.SZ,32000,10.649255006906078,340776.1602209945,0.3810831251368271
2019-07-10,600519.SH,300,723.26,216978.0,0.2426421328074003
2019-07-10,000858.SZ,1800,101.85,183330.0,0.20501425124934647
2019-07-11,000001.SZ,32000,10.63354814111418,340273.54051565373,0.3831271135596935
2019-07-11,600519.SH,300,722.24,216672.0,0.24395936817011202
