trade_date,symbol,side,quantity,execution_price,gross_value,fee,reason,realized_return,holding_days
2020-02-03,002371.SZ,buy,3100,76.342266,236661.02459999998,70.99830737999999,rebalance_entry,,0
2020-02-12,300750.SZ,sell,4200,64.52541000000001,271006.722,216.8053776,trailing_stop,0.5565786906745704,41
2020-02-14,002594.SZ,sell,18500,16.32366,301987.71,241.590168,trailing_stop,0.07891872328127159,11
2020-02-17,002371.SZ,sell,3100,103.273623,320148.2313,256.11858503999997,trailing_stop,0.3523655455149646,14
2020-03-02,002371.SZ,buy,2200,109.98387399999999,241964.52279999998,72.58935684,rebalance_entry,,0
2020-03-02,002594.SZ,buy,13700,19.039019999999997,260834.57399999996,78.25037219999999,rebalance_entry,,0
2020-03-02,600031.SH,buy,25400,15.030014999999999,381762.381,114.52871429999999,rebalance_entry,,0
2020-03-03,002371.SZ,sell,2200,105.42746700000001,231940.42740000002,185.55234192,trailing_stop,-0.04171544052425036,1
2020-03-10,002594.SZ,sell,13700,16.34364,223907.86800000002,179.1262944,trailing_stop,-0.14182881374742728,8
2020-03-10,600031.SH,sell,25400,14.730255,374148.477,299.31878159999997,trailing_stop,-0.020238020466023965,8
2020-05-06,002371.SZ,buy,2300,111.45133999999999,256338.08199999997,76.90142459999998,rebalance_entry,,0
2020-05-06,300750.SZ,buy,4400,56.566509999999994,248892.64399999997,74.66779319999999,rebalance_entry,,0
2020-05-06,600584.SH,buy,12200,25.925899999999995,316295.9799999999,94.88879399999996,rebalance_entry,,0
2020-05-12,300750.SZ,sell,4400,56.48346,248527.22400000002,198.8217792,trailing_stop,-0.0017676529100556504,6
2020-05-19,600584.SH,sell,12200,29.570400000000003,360758.88000000006,288.60710400000005,trailing_stop,0.1402316425095309,13
2020-05-22,002371.SZ,sell,2300,114.566319,263502.53369999997,210.80202695999998,trailing_stop,0.027640936503557034,16
2020-06-01,600584.SH,buy,5400,28.828799999999998,155675.52,46.70265599999999,rebalance_entry,,0
2020-06-01,600519.SH,buy,300,1122.8617399999998,336858.52199999994,101.05755659999997,rebalance_entry,,0
2020-06-01,000858.SZ,buy,2600,125.60547999999999,326574.24799999996,97.97227439999998,rebalance_entry,,0
2020-06-09,600584.SH,sell,5400,27.332639999999998,147596.256,118.0770048,trailing_stop,-0.052182447163952705,8
2020-07-01,600519.SH,sell,300,1224.54423,367363.269,293.89061519999996,rebalance_exit,0.09022948533888786,30
2020-07-01,000858.SZ,sell,500,148.59126,74295.63,59.436504,rebalance_reduce,0.18264502465340415,30
2020-07-01,002594.SZ,buy,14600,21.581559999999996,315090.77599999995,94.52723279999998,rebalance_entry,,0
2020-07-01,300750.SZ,buy,4000,78.64856999999998,314594.2799999999,94.37828399999997,rebalance_entry,,0
2020-07-02,300750.SZ,sell,4000,74.88503999999999,299540.16,239.63212799999997,trailing_stop,-0.04813804973653901,1
2020-07-17,000858.SZ,sell,2100,172.44738,362139.498,289.7115984,trailing_stop,0.37251703748602005,46
2020-07-17,002594.SZ,sell,14600,24.805169999999997,362155.48199999996,289.72438559999995,trailing_stop,0.14902401312953084,16
2020-08-03,300750.SZ,buy,3000,98.32822999999999,294984.68999999994,88.49540699999997,rebalance_entry,,0
2020-08-03,600584.SH,buy,5900,44.84479999999999,264584.31999999995,79.37529599999998,rebalance_entry,,0
2020-08-03,000858.SZ,buy,2300,195.9958,450790.34,135.237102,rebalance_entry,,0
2020-08-10,300750.SZ,sell,3000,92.75715,278271.45,222.61716,trailing_stop,-0.056940909028466935,7
2020-08-10,600584.SH,sell,5900,43.8561,258750.99,207.000792,trailing_stop,-0.02234044714514849,7
2020-09-01,000858.SZ,sell,600,214.8849,128930.93999999999,103.14475199999998,rebalance_reduce,0.09604621049961692,29
2020-09-01,600036.SH,buy,10900,26.986959999999996,294157.86399999994,88.24735919999998,rebalance_entry,,0
2020-09-01,000001.SZ,buy,31400,11.962979400840238,375637.5531863835,112.69126595591504,rebalance_entry,,0
2020-09-08,000858.SZ,sell,1700,204.55524,347743.908,278.1951264,trailing_stop,0.043358540501634346,36
2020-09-30,000001.SZ,sell,31400,11.811386677313536,370877.54166764504,296.70203333411604,trailing_stop,-0.012967929779517218,29
2020-09-30,600036.SH,sell,10900,25.7742,280938.78,224.751024,trailing_stop,-0.045225173232468,29
2020-10-09,002594.SZ,buy,11700,38.24820999999999,447504.0569999999,134.25121709999996,rebalance_entry,,0
2020-10-09,600031.SH,buy,19100,23.455431999999995,447998.7511999999,134.39962535999996,rebalance_entry,,0
2020-10-26,600031.SH,sell,19100,21.890088,418100.6808,334.48054463999995,trailing_stop,-0.06701684526138463,17
2020-11-02,002594.SZ,sell,5800,50.759190000000004,294403.302,235.52264160000004,rebalance_reduce,0.3267017413352684,24
2020-11-02,300750.SZ,buy,2700,116.74662999999998,315215.90099999995,94.56477029999998,rebalance_entry,,0
2020-11-02,000001.SZ,buy,35100,14.114076632675815,495404.0898069211,148.6212269420763,rebalance_entry,,0
2020-11-11,002594.SZ,sell,5900,56.08386,330894.77400000003,264.71581920000006,trailing_stop,0.46587356344345543,33
2020-11-12,300750.SZ,sell,2700,123.72614999999999,334060.605,267.24848399999996,trailing_stop,0.05946564185205094,10
2020-12-01,000001.SZ,sell,35100,15.721913347505176,551839.1584974317,441.47132679794527,rebalance_exit,0.11358316927807555,29
2020-12-01,600031.SH,buy,14600,28.770742,420052.8332,126.01584995999998,rebalance_entry,,0
2020-12-01,600584.SH,buy,7300,42.79275,312387.075,93.7161225,rebalance_entry,,0
2020-12-01,600036.SH,buy,14000,33.933899999999994,475074.5999999999,142.52237999999997,rebalance_entry,,0
2020-12-09,600584.SH,sell,7300,43.10685,314680.005,251.744004,trailing_stop,0.00703791701755474,8
2020-12-14,600036.SH,sell,14000,32.78718,459020.52,367.216416,trailing_stop,-0.03408253115730231,13
2021-01-04,600031.SH,sell,14600,33.128838,483681.0348,386.94482784,rebalance_exit,0.15113132394365136,34
2021-01-04,300750.SZ,buy,1700,178.52834999999996,303498.19499999995,91.04945849999997,rebalance_entry,,0
2021-01-04,600519.SH,buy,300,1759.5077499999998,527852.325,158.35569749999996,rebalance_entry,,0
2021-01-04,002594.SZ,buy,6300,60.240179999999995,379513.13399999996,113.85394019999998,rebalance_entry,,0
2021-01-12,300750.SZ,sell,1700,193.37643,328739.931,262.9919448,trailing_stop,0.08284445842724208,8
2021-01-15,002594.SZ,sell,6300,71.10882000000001,447985.56600000005,358.38845280000004,trailing_stop,0.18006775132269603,11
2021-01-20,600519.SH,sell,300,1764.00423,529201.269,423.3610152,trailing_stop,0.002254856475492506,16
2021-02-01,002594.SZ,buy,4700,78.91883999999999,370918.54799999995,111.27556439999998,rebalance_entry,,0
2021-02-01,600036.SH,buy,12500,40.540499999999994,506756.24999999994,152.02687499999996,rebalance_entry,,0
2021-02-01,000001.SZ,buy,24700,18.392330851461782,454290.57203110604,136.2871716093318,rebalance_entry,,0
2021-02-08,002594.SZ,sell,4700,80.08983,376422.201,301.1377608,trailing_stop,0.014533541761674762,7
2021-02-23,000001.SZ,sell,24700,17.860780267178868,441161.272599318,352.9290180794544,trailing_stop,-0.02919190698074403,22
