scenario,multiplier,cumulative_return,annualized_return,sharpe_ratio,max_drawdown,transaction_cost,annual_turnover
0.5倍成本,0.5,0.5659628985951259,0.2039244329291532,0.9839661832538928,-0.175756624858315,17053.738645526006,17.205504821004983
基准成本,1.0,0.5215635221808863,0.18968060434723832,0.9243360921355155,-0.18018721679898364,32260.951210444862,17.269954357626258
2倍成本,2.0,0.4125229862618027,0.1536315195464948,0.7809804017125167,-0.19162158246636196,55877.614726853266,17.14033794747148
