symbol,stock_name,industry,average_weight,active_day_average_weight,max_weight,holding_days
002371.SZ,北方华创,半导体,0.1418297201873301,0.3318280245892252,0.4281171671881972,53
000001.SZ,平安银行,银行,0.06864738693113653,0.4053464752124253,0.4148475247285397,21
600584.SH,长电科技,半导体,0.06669747998665074,0.35958641384107354,0.4758351800434444,23
000425.SZ,徐工机械,工程机械,0.06108217890797671,0.34428137202677783,0.39775327641411123,22
600031.SH,三一重工,工程机械,0.052244968157423695,0.4048985032200336,0.42655147036313157,16
300750.SZ,宁德时代,新能源汽车,0.05082691484456676,0.24240528618177992,0.3070092982039232,26
600519.SH,贵州茅台,食品饮料,0.05074377300156335,0.28601035691790244,0.29717744907241683,22
002594.SZ,比亚迪,新能源汽车,0.008131073072860333,0.25206326525867034,0.25477363691726845,4
