ts_code,stock_name,industry,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount,amplitude,turnover_rate,adj_factor,price_type,source,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
000001.SZ,平安银行,银行,2019-01-02,7.297501510704419,7.1420701686233885,7.320816212016574,7.118755467311233,,,,539386.32,498695.109,,,108.031,前复权,TuShare Pro: daily + adj_factor,0.2020607447053404,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-03,7.134298601519337,7.212014272559853,7.25087210808011,7.110983900207183,7.1420701686233885,0.0699441039364643,0.9793253536452662,415537.95,384457.707,1.9586507072905277,,108.031,前复权,TuShare Pro: daily + adj_factor,0.13988820787292777,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.009793253536452662,100979.32535364527,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-04,7.180928004143646,7.577277926450275,7.631678896178637,7.165384869935544,7.212014272559853,0.3652636538904223,5.064655172413768,1481159.06,1422149.888,6.465517241379304,,108.031,前复权,TuShare Pro: daily + adj_factor,0.46629402624309346,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.05064655172413768,106093.57997823719,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-07,7.6472220303867395,7.569506359346225,7.654993597490792,7.484019121201658,7.577277926450275,-0.0077715671040499,-0.1025641025640844,865687.66,841166.43,2.256410256410246,,108.031,前复权,TuShare Pro: daily + adj_factor,0.17097447628913454,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.0010256410256408444,105984.7660500544,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-08,7.561734792242173,7.507333822513813,7.569506359346225,7.476247554097605,7.569506359346225,-0.0621725368324126,-0.8213552361396315,402388.11,389247.795,1.2320328542094654,,108.031,前复权,TuShare Pro: daily + adj_factor,0.09325880524862029,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.008213552361396315,105114.25462459194,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-09,7.569506359346225,7.724937701427255,7.833739640883978,7.538420090930018,7.507333822513813,0.2176038789134429,2.898550724637672,1233486.36,1229465.116,3.9337474120082976,,108.031,前复权,TuShare Pro: daily + adj_factor,0.3264058183701657,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.028985507246376496,108161.04461371052,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-10,7.670536731698894,7.849282775092081,7.926998446132595,7.662765164594844,7.724937701427255,0.1243450736648252,1.6096579476861272,1071817.66,1079711.035,3.4205231388329733,,108.031,前复权,TuShare Pro: daily + adj_factor,0.2642332815377513,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.016096579476861272,109902.06746463545,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-11,7.857054342196132,7.926998446132595,7.942541580340701,7.810424939571824,7.849282775092081,0.0777156710405142,0.9900990099009688,696364.55,708001.802,1.6831683168316878,,108.031,前复权,TuShare Pro: daily + adj_factor,0.13211664076887697,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.009900990099009688,110990.20674646349,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-14,7.942541580340701,7.857054342196132,7.965856281652855,7.825968073779927,7.926998446132595,-0.0699441039364625,-0.8823529411764564,500443.59,507862.882,1.7647058823529478,,108.031,前复权,TuShare Pro: daily + adj_factor,0.13988820787292866,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.008823529411764675,110010.88139281822,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-15,7.857054342196132,7.958084714548803,7.9891709829650095,7.841511207988029,7.857054342196132,0.1010303723526702,1.285855588526208,542160.55,553027.309,1.87932739861524,,108.031,前复权,TuShare Pro: daily + adj_factor,0.14765977497698035,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.012858555885262302,111425.46245919474,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-16,7.958084714548803,8.14460232504604,8.160145459254144,7.950313147444751,7.958084714548803,0.1865176104972379,2.34375,977699.37,1017495.116,2.636718750000009,,108.031,前复权,TuShare Pro: daily + adj_factor,0.209832311809393,,,7.110983900207183,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0234375,114036.99673558211,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-17,8.191231727670349,7.965856281652855,8.214546428982505,7.903683744820441,8.14460232504604,-0.1787460433931853,-2.1946564885496067,882811.92,910212.066,3.816793893129789,,108.031,前复权,TuShare Pro: daily + adj_factor,0.3108626841620641,,,7.110983900207183,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.021946564885496067,111534.27638737757,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-18,8.035800385589317,8.105744489525781,8.152373892150091,7.9891709829650095,7.965856281652855,0.139888207872926,1.7560975609755891,738793.26,769973.637,2.0487804878048665,,108.031,前复权,TuShare Pro: daily + adj_factor,0.18651761049723614,,,7.165384869935544,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.01756097560975589,113492.92709466808,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-21,8.035800385589317,8.035800385589317,8.13683075794199,8.020257251381215,8.105744489525781,-0.0699441039364643,-0.8628954937679789,659355.76,684465.646,1.4381591562799745,,108.031,前复权,TuShare Pro: daily + adj_factor,0.11657350656077448,,,7.476247554097605,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.00862895493767979,112513.60174102281,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-22,8.035800385589317,7.9891709829650095,8.113516056629834,7.973627848756905,8.035800385589317,-0.0466294026243074,-0.5802707930367301,424413.57,438991.45,1.7408123791102577,,108.031,前复权,TuShare Pro: daily + adj_factor,0.13988820787292866,,,7.476247554097605,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.005802707930367301,111860.71817192598,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-23,7.996942550069059,8.04357195269337,8.13683075794199,7.996942550069059,7.9891709829650095,0.05440096972836,0.6809338521400754,537876.63,559384.396,1.7509727626459426,,108.031,前复权,TuShare Pro: daily + adj_factor,0.14765977497698035,,,7.538420090930018,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.006809338521400754,112622.41566920563,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-24,8.082429788213627,8.175688593462246,8.199003294774402,8.059115086901471,8.04357195269337,0.132116640768876,1.6425120772946888,679240.88,711495.718,1.7391304347826368,,108.031,前复权,TuShare Pro: daily + adj_factor,0.15543134208103204,,,7.662765164594844,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.01642512077294689,114472.25244831336,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-25,8.206774861878452,8.548723814456721,8.579810082872926,8.199003294774402,8.175688593462246,0.3730352209944758,4.562737642585568,2108361.85,2299718.224,4.657794676806062,,108.031,前复权,TuShare Pro: daily + adj_factor,0.4041214894106808,,,7.810424939571824,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.04562737642585568,119695.32100108813,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-28,8.579810082872926,8.502094411832411,8.657525753913445,8.455465009208103,8.548723814456721,-0.0466294026243101,-0.545454545454549,1035909.8,1141853.833,2.363636363636381,,108.031,前复权,TuShare Pro: daily + adj_factor,0.2020607447053422,,,7.825968073779927,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.00545454545454549,119042.43743199127,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-29,8.517637546040516,8.548723814456721,8.603124784185082,8.369977771063535,8.502094411832411,0.0466294026243101,0.5484460694698434,826631.1,904847.854,2.7422303473491803,,108.031,前复权,TuShare Pro: daily + adj_factor,0.23314701312154718,0.20944373345418993,,7.841511207988029,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.005484460694698434,119695.32100108813,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-30,8.509865978936464,8.509865978936464,8.688612022329648,8.439921875,8.548723814456721,-0.0388578355202575,-0.4545454545454519,712001.01,785204.571,2.9090909090908936,,108.031,前复权,TuShare Pro: daily + adj_factor,0.24869014732964878,0.21140605414796285,8.657525753913445,7.903683744820441,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.004545454545454519,119151.25136017411,0.0,20,10,20,2.0,0.01
000001.SZ,平安银行,银行,2019-01-31,8.533180680248618,8.626439485497237,8.704155156537754,8.502094411832411,8.509865978936464,0.1165735065607727,1.3698630136986134,831622.75,922602.874,2.37442922374431,,108.031,前复权,TuShare Pro: daily + adj_factor,0.2020607447053422,0.21093878867583182,8.688612022329648,7.903683744820441,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.013698630136986134,120783.4602829162,0.0,20,10,20,2.0,0.01
