ts_code,stock_name,industry,trade_date,open,close,high,low,vol,amount,pre_close,change,pct_chg,amplitude,turnover_rate,price_type,source,adj_factor,true_range,atr,entry_high,exit_low,entry_signal,channel_exit_signal,execution,exit_reason,fill_price,cash,shares,position,exposure,stop_price,transaction_cost,turnover,strategy_equity,strategy_return,market_return,benchmark_equity,drawdown,entry_window,exit_window,atr_window,stop_atr,risk_fraction
002371.SZ,北方华创,半导体,2019-01-02,25.228,25.605,25.82,25.043,43782.82,167339.707,,,,,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.777000000000001,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-03,25.413,25.494,25.954,25.383,40771.57,156600.313,25.605,-0.1110000000000006,-0.4335090802577657,2.230033196641287,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.5710000000000015,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.004335090802577657,99566.49091974224,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-04,25.08,26.272,26.605,25.005,58633.66,227148.716,25.494,0.7779999999999987,3.0516984388483603,6.275986506629017,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.6000000000000014,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.030516984388483603,102604.9599687561,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-07,26.894,28.405,28.931,26.894,125152.25,520324.578,26.272,2.1330000000000027,8.118909866017066,7.753501827040204,,前复权,TuShare Pro daily + TuShare legacy qfq,,2.6590000000000025,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.08118909866017066,110935.36418668229,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-08,28.376,28.383,29.057,28.191,81157.17,343557.626,28.405,-0.022000000000002,-0.0774511529660348,3.0487590212990656,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.8659999999999997,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.0007745115296603489,110849.44346807264,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-09,28.472,28.613,29.672,28.154,94645.35,403429.077,28.383,0.2300000000000004,0.8103442201317756,5.3482718528696775,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.5180000000000007,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.008103442201317756,111747.70552626441,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-10,28.413,28.013,28.768,27.968,52598.82,220660.742,28.613,-0.5999999999999979,-2.0969489392933194,2.7959319190577734,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.8000000000000007,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.020969489392933194,109404.41320054678,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-11,28.109,27.961,28.554,27.694,44171.01,183991.011,28.013,-0.0520000000000031,-0.1856281012387217,3.0700032127940577,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.8599999999999994,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.0018562810123872175,109201.32786565124,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-14,28.109,27.376,28.109,27.094,39869.97,162223.659,27.961,-0.5849999999999973,-2.0921998497907657,3.6300561496369967,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0150000000000006,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.020921998497907657,106916.61784807655,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-15,27.287,28.191,28.191,27.139,54856.43,225515.096,27.376,0.8149999999999977,2.9770601987141987,3.842781998831092,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0519999999999996,,,,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.029770601987141987,110099.58992384301,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-16,27.991,27.894,29.139,27.887,63589.34,268047.259,28.191,-0.2970000000000006,-1.0535277216132788,4.441133695150931,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.251999999999999,,,25.005,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.010535277216132788,108939.66022261279,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-17,27.754,27.198,28.154,27.124,50777.49,207261.909,27.894,-0.695999999999998,-2.4951602495160152,3.692550369255041,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0300000000000011,,,25.005,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.024951602495160152,106221.44112478034,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-18,27.154,27.517,28.072,26.954,42253.49,172251.612,27.198,0.318999999999999,1.1728803588499035,4.110596367379949,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.1179999999999986,,,25.005,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.011728803588499037,107467.29154462021,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-21,27.517,28.746,28.857,27.317,99783.43,420693.13,27.517,1.2289999999999992,4.466329905149546,5.596540320529124,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.5399999999999991,,,26.894,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.044663299051495464,112267.13532513182,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-22,28.709,28.65,28.835,28.198,54961.76,231911.099,28.746,-0.096,-0.3339595074097312,2.2159604814582914,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.6370000000000005,,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.0033395950740973124,111892.20855301699,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-23,28.413,28.42,28.702,28.005,32720.8,137761.663,28.65,-0.2299999999999968,-0.8027923211169186,2.432809773123919,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.6970000000000027,,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.008027923211169186,110993.94649482523,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-24,28.443,31.154,31.539,28.443,180392.7,811233.901,28.42,2.733999999999998,9.619985925404627,10.893736805066856,,前复权,TuShare Pro daily + TuShare legacy qfq,,3.1189999999999998,,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.09619985925404628,121671.54852567856,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-25,31.161,31.117,31.968,30.924,114239.13,527069.81,31.154,-0.036999999999999,-0.1187648456057011,3.351094562495989,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0440000000000005,,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.001187648456057011,121527.04549892597,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-28,31.45,31.131,32.228,31.131,81697.97,378860.724,31.117,0.0139999999999993,0.0449914837548526,3.525404119934445,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.1110000000000007,,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.00044991483754852624,121581.72231985937,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-29,30.865,31.205,31.628,30.487,62723.53,286778.347,31.131,0.073999999999998,0.2377051813305053,3.6651569175420056,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.1410000000000018,1.2203500000000005,,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.0023770518133050533,121870.72837336455,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-30,30.909,30.65,31.665,30.613,42224.52,192812.445,31.205,-0.5549999999999997,-1.7785611280243585,3.371254606633551,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0519999999999996,1.2119325000000005,32.228,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,-0.017785611280243585,119703.18297207574,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-01-31,30.82,31.05,31.783,30.82,54548.68,250790.48,30.65,0.4000000000000021,1.3050570962479746,3.1419249592169693,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.1330000000000027,1.2079858750000008,32.228,26.954,False,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.013050570962479746,121265.3778558875,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-01,31.309,32.42,32.635,31.005,68686.47,322246.74,31.05,1.370000000000001,4.412238325281814,5.249597423510464,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.629999999999999,1.2290865812500007,32.228,26.954,True,False,HOLD,,,100000.0,0.0,0,0.0,,0.0,0.0,100000.0,0.0,0.04412238325281814,126615.89533294279,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-11,32.502,33.45,34.154,32.502,61064.4,298520.531,32.42,1.0300000000000011,3.1770512029611453,5.09561998766194,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.7340000000000018,1.2543322521875007,32.635,27.317,False,False,BUY,,32.502,86764.7639733761,406.80616616242935,1,0.13557175239004507,30.0438268375,13.22201401261128,0.1322201401261128,100372.43023150937,0.003724302315093686,0.03177051202961145,130638.54715875808,0.0,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-12,33.22,32.894,33.591,32.561,64771.08,313185.01,33.45,-0.5560000000000045,-1.6621823617339435,3.079222720478329,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.0300000000000011,1.2431156395781255,34.154,28.005,False,False,HOLD,,,86764.7639733761,406.80616616242935,1,0.1336194072549624,30.0438268375,0.0,0.0,100146.24600312306,-0.0022534497557209487,-0.016621823617339437,128467.09627025975,-0.0022534497557209487,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-13,32.894,32.991,34.235,32.643,106021.3,515192.948,32.894,0.0970000000000013,0.2948866054599763,4.839788411260408,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.5919999999999987,1.2605598575992192,34.154,28.005,False,False,HOLD,,,86764.7639733761,406.80616616242935,1,0.13396064904614594,30.0438268375,0.0,0.0,100185.70620124081,0.0003940257342898157,0.0029488660545997636,128845.92852958413,-0.0018603119386256806,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-14,32.62,33.331,33.517,32.191,74968.77,361250.465,32.991,0.3400000000000034,1.0305840986935877,4.019277984904976,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.3260000000000005,1.2638318647192581,34.235,28.443,False,False,HOLD,,,86764.7639733761,406.80616616242935,1,0.1351546347935373,30.0438268375,0.0,0.0,100324.02029773603,0.001380577147576112,0.010305840986935877,130173.79418082412,-0.00048230309519936565,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-15,33.139,32.857,33.42,32.768,49093.17,236995.563,33.331,-0.4740000000000037,-1.4220995469683029,1.956136929585074,,前复权,TuShare Pro daily + TuShare legacy qfq,,0.652000000000001,1.2332402714832953,34.235,30.487,False,False,HOLD,,,86764.7639733761,406.80616616242935,1,0.13348917199810548,30.0438268375,0.0,0.0,100131.19417497504,-0.0019220334491055757,-0.014220995469683029,128322.59324350716,-0.0024034095416233248,20,10,20,2.0,0.01
002371.SZ,北方华创,半导体,2019-02-18,32.968,33.828,34.057,32.324,115185.86,561139.042,32.857,0.9710000000000036,2.95523024013149,5.274370758133744,,前复权,TuShare Pro daily + TuShare legacy qfq,,1.733000000000004,1.2582282579091308,34.235,30.487,False,False,HOLD,,,86764.7639733761,406.80616616242935,1,0.13689404934652707,30.0438268375,0.0,0.0,100526.20296231877,0.003944912378189169,0.0295523024013149,132114.8213239602,0.0,20,10,20,2.0,0.01
