industry,parameter,sample_period,stock_count,median_cumulative_return,median_sharpe_ratio,median_max_drawdown,positive_return_share,median_completed_trades,median_average_exposure
半导体,E10/X5/ATR14/S1.5,full,2,0.1864634709954952,0.39639464776824695,-0.16416160691704756,1.0,58.0,0.0730036089613608
半导体,E10/X5/ATR14/S1.5,in_sample,2,0.012429933961741024,0.0530511086114267,-0.15303795002522552,0.5,40.5,0.06387058578957874
半导体,E10/X5/ATR14/S1.5,out_of_sample,2,0.17639291806659163,0.8921706859839013,-0.05196490618520844,1.0,17.5,0.09128759985294527
半导体,E20/X10/ATR20/S1.5,full,2,0.19542636363623245,0.38650433023353664,-0.15103801999849792,1.0,36.0,0.07015321971717599
半导体,E20/X10/ATR20/S1.5,in_sample,2,0.034182491705868734,0.09076503277247755,-0.14014100570054644,0.5,25.0,0.05751686435435564
半导体,E20/X10/ATR20/S1.5,out_of_sample,2,0.16221245255469907,0.7891144890090801,-0.06504279224283982,1.0,11.0,0.09541713704216796
半导体,E20/X10/ATR20/S2,full,2,0.20513262745158722,0.4919102342714942,-0.119998589364541,1.0,31.5,0.058776652534593195
半导体,E20/X10/ATR20/S2,in_sample,2,0.07448962227691452,0.27778640677642963,-0.10539907941610177,0.5,21.0,0.0493199256205635
半导体,E20/X10/ATR20/S2,out_of_sample,2,0.12415635095755939,0.7876709226393639,-0.046784660421349045,1.0,10.5,0.07766716644369842
半导体,E20/X10/ATR20/S3,full,2,0.13753498966144118,0.4830303890553679,-0.09471949654789125,1.0,30.0,0.042227415468713586
半导体,E20/X10/ATR20/S3,in_sample,2,0.044723454805424834,0.25155116367809616,-0.08120803688832501,0.5,20.5,0.03431758246136042
半导体,E20/X10/ATR20/S3,out_of_sample,2,0.0897579829958356,0.806500132048255,-0.03372913051418536,1.0,9.5,0.05803101685700615
半导体,E40/X20/ATR20/S2,full,2,0.07744329215561563,0.21375685001305467,-0.13500331283255146,1.0,21.5,0.05281299671803358
半导体,E40/X20/ATR20/S2,in_sample,2,-0.006553101733896283,-0.0187349075631435,-0.11215848830862452,0.5,14.0,0.03602228005336617
半导体,E40/X20/ATR20/S2,out_of_sample,2,0.08535343861338418,0.5096143910027235,-0.07708512841440346,1.0,7.5,0.08640513625436447
半导体,E55/X20/ATR20/S2,full,2,0.07871841347336472,0.22626689813486686,-0.11584493927071093,1.0,17.5,0.045426339347323395
半导体,E55/X20/ATR20/S2,in_sample,2,0.0018760913161369186,0.01568998709466128,-0.0963124149690926,0.5,11.0,0.029138889756300447
半导体,E55/X20/ATR20/S2,out_of_sample,2,0.07701894294281353,0.49818963603165795,-0.0768827553282147,1.0,6.5,0.07802184249342642
工程机械,E10/X5/ATR14/S1.5,full,2,0.16373759034098911,0.378971218775142,-0.13496002361865422,1.0,51.0,0.0863969554880297
工程机械,E10/X5/ATR14/S1.5,in_sample,2,0.16133826014346753,0.5482903283044863,-0.11603787956207917,1.0,31.5,0.07928992207573565
工程机械,E10/X5/ATR14/S1.5,out_of_sample,2,0.0010705043435030315,0.033467086017008665,-0.06486158181961621,0.5,19.5,0.10044448361786754
