ts_code,stock_name,industry,parameter,entry_window,exit_window,atr_window,stop_atr,sample_period,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,benchmark_return,excess_return,buy_count,sell_count,completed_trades,win_rate,average_holding_days,holding_ratio,average_exposure,total_transaction_cost,total_turnover,atr_stop_exits,channel_exits,open_position_at_end
000001.SZ,平安银行,银行,E10/X5/ATR14/S1.5,10,5,14,1.5,full,1823,-0.07323523954903088,-0.010458360117000742,0.05519821158512162,-0.16292415283141243,-0.15970861015593696,0.4631612058236332,-0.5363964453726641,57,57,57,0.24561403508771928,10.596491228070175,0.33132199670872187,0.10901990975281178,3541.714977270828,36.66480679065417,27,30,0
000001.SZ,平安银行,银行,E10/X5/ATR14/S1.5,10,5,14,1.5,in_sample,1214,-0.06917393796422866,-0.014769643296555723,0.04753767210410483,-0.289339072603481,-0.1285756027499393,0.10387759069155922,-0.17305152865578788,37,36,36,0.3055555555555556,10.75,0.31960461285008235,0.07940754020262132,1836.3575036272487,18.495111213952907,17,19,1
000001.SZ,平安银行,银行,E10/X5/ATR14/S1.5,10,5,14,1.5,out_of_sample,609,-0.00436311546318402,-0.0018077412896134737,0.06798130188149264,0.007331028784928594,-0.09425543529183389,0.3254741451060579,-0.3298372605692419,20,21,21,0.14285714285714285,10.333333333333334,0.35467980295566504,0.16805015053102407,1705.357473643579,18.16969557670126,10,11,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S1.5,20,10,20,1.5,full,1823,-0.05853318130371621,-0.008303064371317337,0.052290865044441366,-0.13334111418500333,-0.15681771940659794,0.4631612058236332,-0.5216943871273494,36,36,36,0.2777777777777778,15.083333333333334,0.29786066922654963,0.09741279743559954,2289.4112025224968,23.462124040092615,19,17,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S1.5,20,10,20,1.5,in_sample,1214,-0.03876450551445976,-0.008173198693900652,0.049377732892676225,-0.141581475047808,-0.1135701473067422,0.10387759069155922,-0.14264209620601898,22,22,22,0.3181818181818182,16.636363636363637,0.3014827018121911,0.0783836419729511,1122.0730338182423,11.16231185466794,10,12,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S1.5,20,10,20,1.5,out_of_sample,609,-0.02056590284344162,-0.008561892018446704,0.05770371355123127,-0.12019578742862563,-0.07918200251435625,0.3254741451060579,-0.3460400479494995,14,14,14,0.21428571428571427,12.642857142857142,0.29064039408866993,0.13534612211812033,1167.3381687042547,12.299812185424676,9,5,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,full,1823,-0.053461268996022215,-0.007566257548925259,0.04058603549609818,-0.16686045435454103,-0.13604835850307095,0.4631612058236332,-0.5166224748196554,34,34,34,0.29411764705882354,17.735294117647058,0.33077345035655514,0.08265485019528286,1565.7481390568037,16.129860343110387,14,20,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,in_sample,1214,-0.05085565514403734,-0.010775939365300524,0.03751424307703749,-0.270086866687866,-0.10734556772736281,0.10387759069155922,-0.15473324583559656,22,22,22,0.3181818181818182,17.363636363636363,0.31466227347611203,0.06149423534072338,830.4438197883924,8.359097926746147,9,13,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S2,20,10,20,2.0,out_of_sample,609,-0.002745224017934089,-0.0011368701236498246,0.046133498762806625,-0.0016142834013523682,-0.05353876648837452,0.3254741451060579,-0.32821936912399197,12,12,12,0.25,18.416666666666668,0.36288998357963875,0.12483709392834558,735.3043192684113,7.77076241636424,5,7,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S3,20,10,20,3.0,full,1823,0.010445318819087834,0.0014374381249662171,0.029424825156942277,0.06350339107487334,-0.0520982305355957,0.4631612058236332,-0.45271588700454535,30,30,30,0.4,22.666666666666668,0.3730115194733955,0.06123081762400474,986.2527569576592,9.740985926385957,5,25,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S3,20,10,20,3.0,in_sample,1214,-0.008517483203020704,-0.0017740414885905054,0.02700832220821546,-0.052266794954461,-0.04864791535555213,0.10387759069155922,-0.11239507389457992,19,19,19,0.42105263157894735,23.526315789473685,0.36820428336079075,0.047456743801840076,488.55995376994815,4.83073093729948,3,16,0
000001.SZ,平安银行,银行,E20/X10/ATR20/S3,20,10,20,3.0,out_of_sample,609,0.01912570489227483,0.007870163091249438,0.033749933762934406,0.24911042940261435,-0.041175888186142484,0.3254741451060579,-0.30634844021378305,11,11,11,0.36363636363636365,21.181818181818183,0.3825944170771757,0.08868849516112771,497.6928031877111,4.910254989086477,2,9,0
000001.SZ,平安银行,银行,E40/X20/ATR20/S2,40,20,20,2.0,full,1823,-0.0992183865297952,-0.014340554148268625,0.0341265498380032,-0.40619538667621025,-0.10834291144765795,0.4631612058236332,-0.5623795923534284,22,22,22,0.2727272727272727,19.318181818181817,0.23313219967087218,0.057366368992430666,1043.478865469655,11.065442308554662,14,8,0
000001.SZ,平安银行,银行,E40/X20/ATR20/S2,40,20,20,2.0,in_sample,1214,-0.0493540900802274,-0.010451288648542056,0.029377163415398335,-0.34297010649407095,-0.0651607270202228,0.10387759069155922,-0.15323168077178662,12,12,12,0.3333333333333333,21.25,0.2100494233937397,0.040932073980889314,451.5959194841115,4.6724142480987325,7,5,0
000001.SZ,平安银行,银行,E40/X20/ATR20/S2,40,20,20,2.0,out_of_sample,609,-0.05245306999088062,-0.022047991485388385,0.04204659316444836,-0.5092039882171783,-0.07326018244852983,0.3254741451060579,-0.3779272150969385,10,10,10,0.2,17.0,0.2791461412151067,0.09012701619113543,591.8829459855435,6.39302806045593,7,3,0
000001.SZ,平安银行,银行,E55/X20/ATR20/S2,55,20,20,2.0,full,1823,-0.059072002920246836,-0.008381540931586495,0.03148199220695076,-0.2516186477058774,-0.06957335983243751,0.4631612058236332,-0.52223320874388,16,16,16,0.375,20.0625,0.17608337904552934,0.042169613061759176,710.4804065582592,7.374683434139035,10,6,0
