entry_date,exit_date,entry_price,exit_price,entry_atr,stop_price,shares,holding_days,exit_reason,gross_return,net_return,entry_cost,exit_cost,total_cost
2019-02-01,2019-05-07,34.52,67.02,1.7797849999999997,30.960430000000002,280.93280929999975,58,CHANNEL_EXIT,0.9414831981460021,0.937604110837019,9.697800577035993,18.828116879285982,28.525917456321977
2019-05-16,2019-05-27,82.48,72.30730465775846,5.086347671120773,72.30730465775846,107.24963907230624,7,ATR_STOP,-0.12333529755384987,-0.125086875380915,8.845950230683819,7.754932326835883,16.600882557519704
2019-06-21,2019-07-24,87.48,95.64,4.406740457176669,78.66651908564667,122.53293862872336,23,CHANNEL_EXIT,0.09327846364883396,0.09109409109409117,10.71918147124072,11.719050250451103,22.43823172169182
2019-08-15,2019-09-12,99.32,102.92,3.8457841274787574,91.62843174504248,141.67670172547773,20,CHANNEL_EXIT,0.036246476037052,0.0341760535075073,14.071330015374448,14.581366141586168,28.652696156960616
2020-01-14,2020-01-21,115.52,110.04952183319801,2.7352390834009923,110.04952183319801,200.0793755839398,5,ATR_STOP,-0.04735524728879836,-0.04925863340810144,23.11316946745672,22.018639611697406,45.131809079154124
2020-03-06,2020-03-13,107.42,95.42,3.9943242164914663,99.43135156701707,135.58404130528172,5,ATR_STOP,-0.11171104077452987,-0.1134858438898656,14.564437717013364,12.937429221349982,27.501866938363346
2020-04-24,2020-06-18,106.66,132.02,4.277574101352119,98.10485179729577,124.67208167682841,36,CHANNEL_EXIT,0.2377648603037692,0.23529180363982571,13.297524231650518,16.45920822297489,29.756732454625407
2020-06-22,2020-09-09,141.62,196.43,4.578543093172167,132.46291381365566,119.89702681961057,55,CHANNEL_EXIT,0.38702160711763867,0.3842503351753457,16.97981693819325,23.551372978176108,40.53118991636936
2020-10-13,2020-10-26,219.37,204.4733657269776,7.448317136511212,204.4733657269776,78.0859377531236,9,ATR_STOP,-0.06790643330000645,-0.06976875810859784,17.129712164902724,15.96649450832845,33.09620667323117
2020-10-30,2021-01-18,224.57,262.62,7.435370362536723,209.69925927492653,77.4174292475344,55,CHANNEL_EXIT,0.16943492006946625,0.1670983867626339,17.3856320861188,20.331365268987483,37.71699735510629
2021-02-18,2021-02-19,332.11,308.32197297695404,11.894013511523,308.32197297695404,49.61885568119716,1,ATR_STOP,-0.07162695198291524,-0.07348184318774453,16.47891816028239,15.298583480485453,31.777501640767845
2021-04-06,2021-04-15,263.57,237.23764336423122,13.166178317884393,237.23764336423122,44.36418563447935,7,ATR_STOP,-0.09990650163436199,-0.10170489024248497,11.693068407679721,10.524854849697162,22.21792325737688
2021-04-30,2021-05-10,264.62,242.32752197353005,11.14623901323497,242.32752197353005,51.86992858295822,3,ATR_STOP,-0.0842433603902576,-0.08607304398588145,13.725820501622405,12.569511258452241,26.295331760074646
2021-05-18,2021-06-09,275.63,274.62,10.955803998347431,253.71839200330513,52.23182148902501,16,CHANNEL_EXIT,-0.0036643326198163573,-0.005655013273922704,14.396656957019962,14.343902817316048,28.74055977433601
2021-09-28,2021-11-01,200.52,180.2,9.730761608513742,181.05847678297252,58.76560830682801,19,ATR_STOP,-0.10133652503490931,-0.10313205645342116,11.783679777685153,10.589562616890406,22.37324239457556
2021-11-25,2021-12-30,208.2,205.27,7.872569256711112,192.45486148657776,71.86366416717216,25,CHANNEL_EXIT,-0.01407300672430345,-0.016042890826752476,14.962014879605244,14.75145434359543,29.713469223200676
2022-06-01,2022-08-01,153.19,161.73,5.726899817237031,141.73620036552595,98.57869374137162,42,CHANNEL_EXIT,0.05574776421437422,0.05363837807208771,15.10127009424072,15.943132138792032,31.044402233032752
2022-09-28,2022-10-10,153.78,145.14827065289657,4.3158646735517205,145.14827065289657,131.74750238741555,3,ATR_STOP,-0.0561303768182041,-0.058016230211174746,20.260130917136767,19.12292213437173,39.3830530515085
2022-12-01,2023-02-27,148.23,182.29,5.06164376240221,138.10671247519556,111.17365397844051,56,CHANNEL_EXIT,0.22977804762868526,0.2273209486324239,16.479270729224236,20.26584538372992,36.74511611295416
2023-06-16,2023-06-21,165.83,156.40290017944042,4.713549910279801,156.40290017944042,123.36149843820833,3,ATR_STOP,-0.05684797576168121,-0.05873239539052899,20.45703728600809,19.294096126217294,39.751133412225386
2023-07-26,2023-08-14,166.51,157.01,4.303170696461754,157.9036586070765,133.72862919487446,13,CHANNEL_EXIT,-0.05705363041258782,-0.058937639143032294,22.267154047238545,20.99673206988724,43.263886117125786
2023-11-02,2023-11-14,147.09,142.89,3.9613595321179815,139.16728093576404,143.60945642514784,8,CHANNEL_EXIT,-0.028553946563328658,-0.030494897719046232,21.123514945574996,20.520355228589374,41.64387017416437
2024-02-08,2024-04-09,121.81,133.51,3.414067224705503,114.98186555058899,165.68644784814882,35,CHANNEL_EXIT,0.09605122732123794,0.09386131477913762,20.18226621238301,22.12079765220635,42.30306386458936
2024-07-18,2024-07-30,121.72,114.68,3.2679222870078264,115.18415542598434,175.99739606496303,8,CHANNEL_EXIT,-0.057837660203746255,-0.059720102441101486,21.4224030490273,20.18338138072996,41.60578442975726
2024-09-27,2024-11-25,133.48,137.57,3.8839772871632805,125.71204542567342,146.43305914072178,36,CHANNEL_EXIT,0.030641294575966427,0.028582071210180304,19.545884734103545,20.144795945989095,39.69068068009264
2025-03-17,2025-03-21,136.65,129.92330403217522,3.363347983912388,129.92330403217522,169.93150312790115,4,ATR_STOP,-0.04922572973161199,-0.05112537862325717,23.221139902427694,22.07806234553084,45.29920224795853
2025-05-15,2025-05-19,129.26,123.45,2.4181835356315995,124.4236329287368,233.89328655939966,2,ATR_STOP,-0.04494816648615185,-0.046856361957707926,30.233046220667998,28.87412622575789,59.10717244642589
2025-07-14,2025-08-01,118.61,118.56,1.6586466520416177,115.29270669591676,336.7243759413488,14,CHANNEL_EXIT,-0.0004215496163898491,-0.002418709357415949,39.93887823040338,39.92204201160631,79.86092024200968
2025-08-26,2025-08-28,127.35,123.66571027505755,1.8421448624712258,123.66571027505755,302.9204078837432,2,ATR_STOP,-0.028930425794601033,-0.030870624744062547,38.5769139439947,37.46086739775325,76.03778134174794
2026-01-30,2026-02-02,110.77,105.08,1.9135327888578417,106.94293442228431,288.504516200283,1,ATR_STOP,-0.05136769883542469,-0.05326306806852088,31.957645259505345,30.316054562325736,62.27369982183108
